venue,year,committee_type,position,full_name,affiliation,role_title
QCRYPT,2025,local_organizing,chair,Jian-Wei Pan,University of Science and Technology of China,Honorary Chair
QCRYPT,2025,local_organizing,member,Cheng-Lin Li,University of Science and Technology of China,LO Member
QCRYPT,2025,local_organizing,co_chair,Feihu Xu,University of Science and Technology of China,LO Co-Chair
QCRYPT,2025,local_organizing,co_chair,Qiang Zhang,University of Science and Technology of China,LO Co-Chair
QCRYPT,2025,local_organizing,chair,Sheng-Kai Liao,University of Science and Technology of China,LO Chair
QCRYPT,2025,local_organizing,co_chair,Yuan Cao,University of Science and Technology of China,LO Co-Chair
QCRYPT,2025,local_organizing,member,Yu-Huai Li,University of Science and Technology of China,LO Member
QCRYPT,2025,steering,member,Charles Lim,National University of Singapore,SC Member
QCRYPT,2025,steering,member,Dakshita Khurana,University of Illinois Urbana-Champaign,SC Member
QCRYPT,2025,steering,member,Davide Bacco,University of Florence,SC Member
QCRYPT,2025,steering,co_chair,Davide Rusca,University of Vigo,SC Co-Chair
QCRYPT,2025,steering,member,Feihu Xu,University of Science and Technology of China,SC Member
QCRYPT,2025,steering,member,Kai-Min Chung,"IIS, Academia Sinica",SC Member
QCRYPT,2025,steering,member,Li Qian,University of Toronto,SC Member
QCRYPT,2025,steering,chair,Marco Lucamarini,University of York,SC Chair
QCRYPT,2025,steering,member,Rotem Arnon-Friedman,Weizmann Institute of Science,SC Member
QCRYPT,2025,program,chair,Chris Majenz,Technical University of Denmark,PC Chair
QCRYPT,2025,program,co_chair,Eleni Diamanti,"LIP6, CNRS and Sorbonne University",PC Co-Chair
QCRYPT,2025,program,member,Alessandro Fedrizzi,"Heriot-Watt University, UK",PC Member
QCRYPT,2025,program,member,Alexander Ling,National University of Singapore,PC Member
QCRYPT,2025,program,member,Anthony Martin,"Unversité de la Côte d'Azur, France",PC Member
QCRYPT,2025,program,member,Bing Qi,"NYU Shanghai, China",PC Member
QCRYPT,2025,program,member,Charles Lim,"JPMorganChase, USA",PC Member
QCRYPT,2025,program,member,Cosmo Lupo,"Politecnico di Bari, Italy",PC Member
QCRYPT,2025,program,member,Djeylan Aktas,"Slovak Academy of Sciences, Slovakia",PC Member
QCRYPT,2025,program,member,Eric Culf,"University of Waterloo, Canada",PC Member
QCRYPT,2025,program,member,Fang Song,"Portland State University, USA",PC Member
QCRYPT,2025,program,member,Félix Bussières,"ID Quantique, Switzerland",PC Member
QCRYPT,2025,program,member,Frédéric Dupuis,"University of Montreal, Canada",PC Member
QCRYPT,2025,program,member,George Kanellos,"National and Kapodistrian University of Athens, Greece",PC Member
QCRYPT,2025,program,member,Giulio Malavolta,"Bocconi University, Italy",PC Member
QCRYPT,2025,program,member,Ian George,National University of Singapore,PC Member
QCRYPT,2025,program,member,Lai Zhou,"Beijing Academy of Quantum Information Sciences, China",PC Member
QCRYPT,2025,program,member,Mariana Ramos,"Austrian Institute of Technology, Austria",PC Member
QCRYPT,2025,program,member,Mate Farkas,"University of York, UK",PC Member
QCRYPT,2025,program,member,Mateus Araújo,"University of Valladolid, Spain",PC Member
QCRYPT,2025,program,member,Mathieu Bozzio,"University of Vienna, Austria",PC Member
QCRYPT,2025,program,member,Patrick Struck,"University of Konstanz, Germany",PC Member
QCRYPT,2025,program,member,Prabhanjan Ananth,"University of California, Santa Barbara, USA",PC Member
QCRYPT,2025,program,member,Ramona Wolf,"University of Siegen, Germany",PC Member
QCRYPT,2025,program,member,Stefano Pironio,"Université libre de Bruxelles, Belgium",PC Member
QCRYPT,2025,program,member,Takashi Yamakawa,"NTT, Japan",PC Member
QCRYPT,2025,program,member,Thomas Jennewein,"Simon Fraser University, Canada",PC Member
QCRYPT,2025,program,member,Tobias Gehring,Technical University of Denmark,PC Member
QCRYPT,2025,program,member,Tomoyuki Morimae,"Kyoto Univerisity, Japan",PC Member
