venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QCRYPT,2025,tutorial,Security proofs for decoy-state BB84 and their performance,Devashish Tupkary,,University of Waterloo,"Protocol security of quantum key distribution (QKD) protocols refers to the derivation of a rigorous mathematical statement asserting the security the protocol, starting from a precise mathematical model of the protocol. In this tutorial, we will introduce key concepts required to construct such proofs. We will highlight common gaps in the existing literature and discuss how they can be addressed. We will provide a brief overview of the different security proof techniques available, outlining how they work and comparing their strengths and limitations.",,,https://www.youtube.com/watch?v=dnaBkGFt9I0,dnaBkGFt9I0,Tutorial Talk,,source_type=claude_extraction; session_chair=Thomas Hahn,2025-08-26,08:40,
QCRYPT,2025,invited,Quantum secure microwave communication,Kirill Fedorov,,The Walther-Meißner-Institute for Low Temperature Research,"Microwave quantum communication is set to play an important role in future quantum networks because of its natural frequency compatibility with superconducting quantum processors and modern near-distance communication standards. To this end, I present the experimental realization of a continuous-variable quantum key distribution (QKD) protocol based on propagating displaced squeezed microwave states, which can be generated and detected using superconducting parametric devices. I demonstrate the unconditional security in our experimental QKD setting with a potential for secure microwave communication over distances up to 1000 m in the cryogenic environment. Furthermore, I present our ongoing efforts towards bringing quantum secure microwave communication to high temperatures by implementing quantum teleportation of coherent microwaves over thermal channels with fidelities exceeding the asymptotic no-cloning threshold. Finally, I discuss the feasibility and possible use cases of room temperature, open-air microwave quantum communication.",,,https://www.youtube.com/watch?v=02NLvnu0GFs,02NLvnu0GFs,Invited Talk,,source_type=claude_extraction; session_chair=Thomas Hahn,2025-08-26,09:55,
QCRYPT,2025,invited,Optical Quantum Network using Drones,Zhenda Xie,,Nanjing University,"Traditional information technology relies on optical fibers as its backbone to connect base stations for extensive and flexible information coverage, thus being constrained by the coverage range of optical fibers. In recent years, new productive forces such as satellite internet and the low-altitude economy have gained growing attention. It is anticipated that a fiber-independent optical quantum information network built on mobile platforms can be developed to enable flexible quantum communication and other applications. The key to these applications is the development of miniaturized optoelectronic integrated devices with low noise, fast modulation, and high efficiency, so as to meet the urgent demands of emerging information technologies like high-security communication in mobile platform-based optical quantum information networks and modern applications such as the low-altitude economy.

To this end, we have developed optoelectronic chip information devices including high-efficiency, lightweight quantum light sources and high-precision, lightweight tracking and aiming systems. Furthermore, we have completed a series of experiments on entangled photon distribution, entangled photon distribution via optical relays, and quantum key distribution, using UAVs and other mobile platforms. These efforts have laid the groundwork for constructing a low-altitude optical information network that integrates classical and quantum technologies, driving the advancement of next-generation quantum communication technology and the low-altitude economy.",,,https://www.youtube.com/watch?v=eaUJhe4Ftkg,eaUJhe4Ftkg,Invited Talk,,source_type=claude_extraction; session_chair=Yu-Huai Li,2025-08-26,11:10,
QCRYPT,2025,regular,Frequency-bin entanglement-based quantum key distribution,,Giulia Guarda;Noemi Tagliavacche;Massimo Borghi;Domenico Ribezzo;Marco Liscidini;Davide Bacco;Matteo Galli;Daniele Bajoni,University of Florence;University of Pavia;University of Pavia;University of Florence;University of Pavia;University of Florence;University of Pavia;University of Pavia,"We demonstrate an entanglement-based quantum key distribution (QKD) system employing frequency-bin encoding. The entangled state is generated using two independent high-finesse ring resonators fabricated on a silicon photonic chip. The system implements the BBM92 protocol with a passive basis selection scheme and enables simultaneous acquisition of sixteen projective measurements across two mutually unbiased bases. To counteract random phase fluctuations induced by thermal instabilities in the transmission fiber, we apply a real-time adaptive phase correction to the measurement basis.
We achieve stable QKD over a 26 km fiber spool with a secure key rate exceeding 4.5 bit/s.",,,https://www.youtube.com/watch?v=CGdB9bd_tyU,CGdB9bd_tyU,Contributed Talk 2a,Best Student Paper Award (Experiment) — Giulia Guarda & Noemi Tagliavacche,source_type=claude_extraction; session_chair=Yu-Huai Li,2025-08-26,11:55,
QCRYPT,2025,regular,Chip-integrated quantum signature network over 200 km,,Yongqiang Du;Bing-Hong Li;Xin Hua;Xiao-Yu Cao;Zhengeng Zhao;Feng Xie;Zhenrong Zhang;Hua-Lei Yin;Xi Xiao;Kejin Wei,Guangxi University;Nanjing University;National Information Optoelectronics Innovation Center;Nanjing University;Guangxi University;Guangxi University;Guangxi University;Renmin University of China;National Information Optoelectronics Innovation Center;Guangxi University,"The development of quantum networks is paramount towards practical and secure communications. Quantum digital signatures (QDS) offer an information-theoretically secure solution for ensuring data integrity, authenticity, and nonrepudiation, rapidly growing from proof-of-concept to robust demonstrations. However, previous QDS systems relied on expensive and bulky optical equipment, limiting large-scale deployment and reconfigurable networking construction. Here, we introduce and verify a chip-based QDS network, placing the complicated and expensive measurement devices in the central relay while each user needs only a low-cost transmitter. We demonstrate the network with a three-node setup using an integrated encoder chip and decoder chip. By developing a 1-decoy-state one-time universal hashing-QDS protocol, we achieve a maximum signature rate of 0.0414 times per second for a 1 Mbit messages over fiber distances up to 200 km, surpassing all current state-of-the-art QDS experiments. This study validates the feasibility of chip-based QDS, paving the way for large-scale deployment and integration with existing fiber infrastructure.",,,https://www.youtube.com/watch?v=yXv6nMGo8l0,yXv6nMGo8l0,Contributed Talk 2a,,source_type=claude_extraction; session_chair=Yu-Huai Li,2025-08-26,11:55,
QCRYPT,2025,regular,Implementation of carrier-grade quantum communication networks over 10000 km: from Shanghai-Beijing Backbone to China quantum communication network,,Hao-Ze Chen;Ming-Han Li;Yu-Zhou Wang;Zhen-Geng Zhao;Cheng Ye;Fei-Long Li;Zhu Chen;Sheng-Long Han;Bao Tang;Ya-Jun Miao;Wei Qi,"CAS Quantum Network Co., Ltd., Shanghai, China;CAS Quantum Network Co., Ltd., Shanghai, China;CAS Quantum Network Co., Ltd., Shanghai, China;Anhui CAS Quantum Network Co., Ltd., Hefei, China;CAS Quantum Network Co., Ltd., Shanghai, China;CAS Quantum Network Co., Ltd., Shanghai, China;Anhui CAS Quantum Network Co., Ltd., Hefei, China;Anhui CAS Quantum Network Co., Ltd., Hefei, China;Anhui CAS Quantum Network Co., Ltd., Hefei, China;CAS Quantum Network Co., Ltd., Shanghai, China;CAS Quantum Network Co., Ltd., Shanghai, China","Quantum key distribution (QKD) has been proven to be an essential technology to resist the threat of quantum computing. Major technological powers such as the United States and countries in Europe have already begun the development of quantum key distribution networks. After years of technological research, China has further developed the operational-level 10,000-kilometre quantum secure communication network for business applications ‘China Quantum Communication Network’ (CN-QCN), developed based on ‘Shanghai-Beijing Backbone’. This report summarizes the advanced practices of CN-QCN in areas such as Backbone and　Metropolitan networks organization and network management. It also highlights several initiatives designed to enhance the network usability, proposes a method for evaluating the availability of quantum networks.",,,https://www.youtube.com/watch?v=S_82ZwaSdJ8,S_82ZwaSdJ8,Contributed Talk 2b,,source_type=claude_extraction; session_chair=Zhenda Xie,2025-08-26,14:00,
QCRYPT,2025,regular,Orthogonality Broadcasting and Quantum Position Verification,,Ian George;Rene Allerstorfer;Philip Verduyn Lunel;Eric Chitambar,"National University of Singapore;QuSoft, CWI Amsterdam;Sorbonne Université;University of Illinois at Urbana-Champaign","The no-cloning theorem leads to information-theoretic security in various quantum cryptographic protocols. However, this security typically derives from a possibly weaker property that classical information encoded in certain quantum states cannot be broadcast.  To formally capture this property, we introduce the study of ``orthogonality broadcasting.""  When attempting to broadcast the orthogonality of two different qubit bases, we establish that the power of classical and quantum communication is equivalent. However, quantum communication is shown to be strictly more powerful for broadcasting orthogonality in higher dimensions. We then relate orthogonality broadcasting to quantum position verification and provide a new method for establishing error bounds in the no pre-shared entanglement model that can address protocols previous methods could not. Our key technical contribution is an uncertainty relation that uses the geometric relation of the states that undergo broadcasting rather than the non-commutative aspect of the final measurements.",,,https://www.youtube.com/watch?v=mJpIhVU_N4s,mJpIhVU_N4s,Contributed Talk 2b,,source_type=claude_extraction; session_chair=Zhenda Xie,2025-08-26,14:00,
QCRYPT,2025,regular,Dynamic rerouting of quantum key distribution links during live operation,,Jan Krause;Stephanie Renneke;Jonas Hilt;Oliver Peters;Peter Hanne;Andy Schreier;Ronald Freund;Nino Walenta,Fraunhofer HHI;Fraunhofer HHI;Fraunhofer HHI;Fraunhofer HHI;Fraunhofer HHI;Fraunhofer HHI;Fraunhofer HHI;Fraunhofer HHI,"In this work, we address the challenge of dynamically rerouting quantum key distribution (QKD) links during live operation without the need for a system restart. Our novel resynchronization method, combined with a qubit-based clock frequency recovery algorithm, enables seamless rerouting of quantum channels in software-defined networks (SDNs). We validate our method with our 625 MHz real-time BB84 QKD system, using free-running cost-effective quartz oscillators and without an optical clock channel. The effectiveness of our method is demonstrated by the reliable system operation covering fiber length changes exceeding 100 km and sustaining channel interruptions of multiple minutes. We believe that our findings will significantly enhance the utility of QKD systems and simplify their flexible integration into existing and future telecom infrastructures, including optically switched SDNs.",,,https://www.youtube.com/watch?v=JI9Cx8Tnj6A,JI9Cx8Tnj6A,Contributed Talk 2b,,source_type=claude_extraction; session_chair=Zhenda Xie,2025-08-26,14:00,
QCRYPT,2025,regular,Experimental Quantum Channel Purification,,Yueyang Fei;Zhenhuan Liu;Rui Zhang;Yu-Ao Chen,University of Science and Technology of China;Tsinghua University;University of Science and Technology of China;University of Science and Technology of China,"Quantum networks, which integrate multiple quantum computers and the channels connecting them, are crucial for distributed quantum information processing but remain inherently susceptible to channel noise. 
The channel purification protocol emerges as a promising technique for directly suppressing noise in quantum channels without complex encoding and decoding operations, making it particularly suitable for remote quantum information transmission in optical systems. 
In this work, leveraging the spatial and polarization degrees of freedom of photons, we propose a novel experimental configuration that efficiently implements the channel purification protocol, utilizing two Fredkin gates to coherently interfere independent noise channels. 
Based on this configuration, we experimentally demonstrate that the protocol can suppress the noise with various noise levels and forms.
Furthermore, we apply our protocol in a practical application of entanglement distribution, showing that the channel purification can effectively protect the distributed entanglement from channel noise.",,,https://www.youtube.com/watch?v=0T5Gczd2JU4,0T5Gczd2JU4,Contributed Talk 2b,,source_type=claude_extraction; session_chair=Zhenda Xie,2025-08-26,14:00,
QCRYPT,2025,tutorial,Twin-field quantum key distribution experiments,Yang Liu,,Jinan Institute of Quantum Technology,"The key rate of traditional QKD protocols scales linearly with the channel transmittance. TF-QKD improves this relation to the square root the channel transmittance, within the reach of current technology. In my tutorial talk, ""Twin-field quantum key distribution experiments"", I will introduce the fundamentals of twin-field quantum key distribution (TF-QKD) experiments. This would cover the basic implementation of the protocol, the key components of the experimental setup and the performance characteristics of practical TF-QKD systems. The talk will also address critical aspects of building a TF-QKD system, including the laser frequency locking techniques and phase fluctuation compensation methods. The talk will discuss the strategies for enhancing system performance, including the the noise and attenuation analysis, and the methods to optimize system performance. The talk will explore the related twin-field QKD protocols and the implementations.",,,https://www.youtube.com/watch?v=lpBHgJBbPTQ,lpBHgJBbPTQ,Tutorial Talk,,source_type=claude_extraction; session_chair=Christian Majenz,2025-08-26,15:50,
QCRYPT,2025,invited,Two quantum tales,Gilles Brassard,,Université de Montréal,"I shall discuss two topics, which are loosely connected by Artur Ekert's E91 protocol, whose subtitles are (1) How quantum cryptography came to be, and (2) Who told you that Nature is nonlocal? The first tale will cover the period from Stephen Wiesner's seminal Conjugate Coding to Ekert's protocol; the second tale will start with EPR 1935, evolve through John Bell's 1964 seminal paper to the experiments that led to the 2022 Nobel Prize in Physics that purport to force us to renounce local realism, and culminate with my reasons to believe that Nature is local and realistic nevertheless.",,,https://www.youtube.com/watch?v=2SHz6PhthVc,2SHz6PhthVc,After-dinner Talk,,source_type=claude_extraction; session_chair=Qiang Zhang,2025-08-26,19:30,
QCRYPT,2025,invited,Field trial of TF-QKD using independent optical frequency combs,Lai Zhou,,Beijing Academy of Quantum Information Sciences,"Owing to its repeaterlike rate-loss scaling, twin-field quantum key distribution (TF-QKD) has repeatedly exhibited in the laboratory its superiority for secure communication over record fiber lengths. Field trials pose a new set of challenges, however, which must be addressed before the technology’s roll-out into the real world. Here, we verify in the field the viability of using independent optical frequency combs, installed at sites separated by a straight-line distance of 300 km, to achieve a versatile TF-QKD setup that has no need for optical frequency dissemination and thus enables an open and network-friendly fiber configuration. Our work represents an important step toward incorporation of long-haul fiber links into large quantum networks.",,,https://www.youtube.com/watch?v=SeicA3Xb-e0,SeicA3Xb-e0,Invited Talk,,source_type=claude_extraction; session_chair=Giuseppe Vallone,2025-08-27,08:40,
