venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
TQC,2007,keynote,From classical cryptography to quantum physics through (challenges of) quantum cryptography,Jozef Gruska,Jozef Gruska,Masaryk Univ.,,,,,,General topics,,source_type=claude_extraction; source=wayback,2007-01-24,10:30,60
TQC,2007,regular,Quantum precision limits given by the gate trace distance and the gate fidelity,,Tokishiro Karasawa;Masanao Ozawa,Tohoku Univ.,,,,,,General topics,,source_type=claude_extraction; source=wayback,2007-01-24,11:30,30
TQC,2007,invited,Quantum Random Access Coding with Multiple Qubits,Rudy Raymond,Rudy Raymond,IBM Japan,,,,,,Quantum Communication,,source_type=claude_extraction; source=wayback,2007-01-24,13:30,50
TQC,2007,regular,Accidental cloning of a single photon qubit in two-channel continuous-variable teleportation,,Toshiki Ide;Holger F. Hofmann,Okayama Inst. Quantum Phys.;Hiroshima Univ.,,,,,,Quantum Communication,,source_type=claude_extraction; source=wayback,2007-01-24,14:20,30
TQC,2007,regular,Quantum Modeling using Information-Particles,,Juan C. Martinez;Luis C. Estebanez,Polytech. Univ. Madrid.;Hispatel Ing.,,,,,,Quantum Communication,,source_type=claude_extraction; source=wayback,2007-01-24,14:50,30
TQC,2007,regular,Space Efficient Quantum Algorithms for Data Streams,Francois Le Gall,Francois Le Gall,ERATO-SORST,,,,,,Quantum Computation I,,source_type=claude_extraction; source=wayback,2007-01-24,15:50,30
TQC,2007,regular,Quantum Walk on a Line with Two Entangled Particles,,Y. Omar;N. Paunkovic;L. Sheridan;S. Bose,Tech. Univ. Lisbon;Inst. Superior Tecnico;Univ. of Waterloo;UCL,,,,,,Quantum Computation I,,source_type=claude_extraction; source=wayback,2007-01-24,16:20,30
TQC,2007,regular,Fault-tolerant Quantum Computation with Highly Verified Logical Cluster States,,Keisuke Fujii;Katsuji Yamamoto,Kyoto Univ.,,,,,,Quantum Computation I,,source_type=claude_extraction; source=wayback,2007-01-24,16:50,30
TQC,2007,invited,Self-testing of Quantum Circuits,Michele Mosca,Michele Mosca,"Institute for Quantum Computing, and Perimeter Institute, Waterloo",,,,,,Quantum Computation II (Joint session with NAIST WS),,source_type=claude_extraction; source=wayback,2007-01-25,10:10,50
TQC,2007,invited,Physical and information theoretical initializations for ensemble quantum computers without measurement,Masahiro Kitagawa,Masahiro Kitagawa,Osaka Univ./JST,,,,,,Quantum Computation II (Joint session with NAIST WS),,source_type=claude_extraction; source=wayback,2007-01-25,11:00,50
