venue,year,committee_type,position,full_name,affiliation,role_title
TQC,2008,program,chair,Michele Mosca,"Institute for Quantum Computing (UW), and Perimeter Institute, Waterloo",
TQC,2008,program,member,Richard Cleve,"Institute for Quantum Computing (UW), and Perimeter Institute, Waterloo",
TQC,2008,program,member,Masahito Hayashi,JST ERATO-SORST/Tohoku University,
TQC,2008,program,member,Peter Hoyer,University of Calgary,
TQC,2008,program,member,Hiroshi Imai,University of Tokyo/JST ERATO-SORST,
TQC,2008,program,member,Nobuyuki Imoto,Osaka University,
TQC,2008,program,member,Kazuo Iwama,Kyoto University,
TQC,2008,program,member,Richard Jozsa,University of Bristol,
TQC,2008,program,member,Yasuhito Kawano,NTT,
TQC,2008,program,member,Takeshi Koshiba,Saitama University,
TQC,2008,program,member,Hoi-Kwong Lo,University of Toronto,
TQC,2008,program,member,Igor L. Markov,University of Michigan,
TQC,2008,program,member,Mio Murao,University of Tokyo,
TQC,2008,program,member,Tatsuaki Okamoto,NTT,
TQC,2008,program,member,Masanao Ozawa,Tohoku University,
TQC,2008,program,member,Adam Smith,Pennsylvania State University,
TQC,2008,program,member,Barbara Terhal,IBM Watson Research Center,
TQC,2008,program,member,Guifre Vidal,University of Queensland,
TQC,2008,program,member,Shigeru Yamashita,Nara Institute of Science and Technology,
TQC,2008,organizing,chair,Yasuhito Kawano,NTT,
TQC,2008,organizing,member,Go Kato,NTT,
TQC,2008,organizing,member,Yumi Nakajima,NTT,
TQC,2008,organizing,member,Yasuhiro Takahashi,NTT,
TQC,2008,organizing,member,Seiichiro Tani,NTT/JST ERATO-SORST,
