venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
TQC,2012,regular,New Protocols and Lower Bound for Quantum Secret Sharing with Graph States,,Jérôme Javelle; Mehdi Mhalla; Simon Perdrix,,,,,,,Day 1 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-17,10:20,25
TQC,2012,regular,Key recycling in authentication,Christopher Portmann,Christopher Portmann,,,,,,,Day 1 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-17,10:45,25
TQC,2012,regular,A quantum protocol for sampling correlated equilibria unconditionally and without a mediator,,Iordanis Kerenidis; Shengyu Zhang,,,,,,,Day 1 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-17,11:10,25
TQC,2012,regular,"An All-But-One Entropic Uncertainty Relation, and Application to Password-based Identification",,Niek Bouman; Serge Fehr; Carlos Gonzalez-Guillen; Christian Schaffner,,,,,,,Day 1 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-17,11:35,25
TQC,2012,regular,Optimal counterfeiting attacks and generalizations for Wiesner's quantum money,,Abel Molina; Thomas Vidick; John Watrous,,,,,,,Day 1 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-17,12:00,25
TQC,2012,regular,Simulating equatorial measurements on GHZ states with finite expected communication cost,,Gilles Brassard; Marc Kaplan,,,,,,,Day 1 afternoon,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-17,16:10,25
TQC,2012,regular,Testing quantum circuits and detecting insecure encryption,Bill Rosgen,Bill Rosgen,,,,,,,Day 1 afternoon,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-17,16:35,25
TQC,2012,regular,Search by quantum walks on two-dimensional grid without amplitude amplification,,Andris Ambainis; Nikolajs Nahimovs; Alexander Rivosh; Arturs Backurs,,,,,,,Day 1 afternoon,,Springer LNCS post-proceedings (selected papers); end time not given in schedule; source_type=claude_extraction,2012-05-17,17:00,25
TQC,2012,regular,The effects of free will on randomness expansion,,Dax Koh; Michael Hall; Setiawan; James Pope; Artur Ekert; Alastair Kay; Valerio Scarani,,,,,,,Day 2 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-18,10:20,25
TQC,2012,regular,Verifying multipartite entanglement in the presence of dishonest parties,,Andre Chailloux; Eleni Diamanti; Iordanis Kerenidis; Anna Pappa; Stephanie Wehner,,,,,,,Day 2 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-18,10:45,25
TQC,2012,regular,Device-Independent Information Processing in the presence of Weak Cross-Talk,,Jonathan Silman; Stefano Pironio; Serge Massar,,,,,,,Day 2 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-18,11:10,25
TQC,2012,regular,Semi-device-independent QKD based on BB84 and a CHSH-type estimation,,Erik Woodhead; Charles Ci Wen Lim; Stefano Pironio,,,,,,,Day 2 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-18,11:35,25
TQC,2012,regular,On some special cases of the Entropy Photon-Number Inequality,,Smarajit Das; Naresh Sharma; Siddharth Muthukrishnan,,,,,,,Day 2 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-18,12:00,25
TQC,2012,regular,Parallelization and factorization theorems in Quantum Metrology,Giulio Chiribella,Giulio Chiribella,,,,,,,Day 3 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-19,11:10,25
TQC,2012,regular,Ideal state discrimination with an O(1)-qubit quantum computer,,Robin Blume-Kohout; Sarah Croke; Michael Zwolak,,,,,,,Day 3 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-19,11:35,25
TQC,2012,regular,Applying a generalization of Schur-Weyl duality to problems in quantum information and estimation,,Iman Marvian; Robert Spekkens,,,,,,,Day 3 morning,,Springer LNCS post-proceedings (selected papers); source_type=claude_extraction,2012-05-19,12:00,25
