venue,year,committee_type,position,full_name,affiliation,role_title
QCRYPT,2019,program,member,Ulrik Andersen,Technical University of Denmark,
QCRYPT,2019,program,member,Rotem Arnon-Friedman,UC Berkeley,
QCRYPT,2019,program,chair,Eleni Diamanti,"CNRS, Sorbonne Université",
QCRYPT,2019,program,member,David Elkouss,TU Delft,
QCRYPT,2019,program,member,Alexandru Gheorghiu,California Institute of Technology,
QCRYPT,2019,program,member,Thomas Jennewein,Institute for Quantum Computing,
QCRYPT,2019,program,chair,Anthony Leverrier,Inria Paris,
QCRYPT,2019,program,member,Charles Lim Ci Wen,National University of Singapore,
QCRYPT,2019,program,member,Alexander Ling,"Centre for Quantum Technologies, Singapore",
QCRYPT,2019,program,member,Hoi-Kwong Lo,University of Toronto,
QCRYPT,2019,program,member,Chao-Yang Lu,University of Science and Technology of China,
QCRYPT,2019,program,member,Anthony Martin,University of Geneva,
QCRYPT,2019,program,member,Glaucia Murta,Technical University Delft,
QCRYPT,2019,program,member,Tracy Northup,University of Innsbruck,
QCRYPT,2019,program,member,Stefano Pironio,Université Libre de Bruxelles,
QCRYPT,2019,program,member,Christopher Portmann,ETH Zurich,
QCRYPT,2019,program,member,Hugues de Riedmatten,ICFO,
QCRYPT,2019,program,member,Masahiro Takeoka,"National Institute of Information and Communications Technology, Tokyo",
QCRYPT,2019,program,member,Wolfgang Tittel,Technical University Delft,
QCRYPT,2019,program,member,Marco Tomamichel,University of Technology Sydney,
QCRYPT,2019,program,member,Giuseppe Vallone,University of Padova,
QCRYPT,2019,program,member,Petros Wallden,University of Edinburgh,
QCRYPT,2019,program,member,Zheshen Zhang,University of Arizona,
QCRYPT,2019,steering,member,Anne Broadbent,University of Ottawa,
QCRYPT,2019,steering,chair,Marcos Curty,University of Vigo,
QCRYPT,2019,steering,member,Serge Fehr,"CWI, Leiden University, QuSoft",
QCRYPT,2019,steering,member,Yi-Kai Liu,NIST / University of Maryland,
QCRYPT,2019,steering,member,Christoph Marquardt,Max Planck Institute for the Science of Light,
QCRYPT,2019,steering,member,Akihisa Tomita,Hokkaido University,
QCRYPT,2019,steering,chair,Hugo Zbinden,"U Geneva, Switzerland",
QCRYPT,2019,steering,member,Qiang Zhang,University of Science and Technology of China,
QCRYPT,2019,steering,member,Charles H. Bennett,IBM Research,
QCRYPT,2019,steering,member,Gilles Brassard,Université de Montréal,
QCRYPT,2019,steering,member,Ivan Damgård,Aarhus University,
QCRYPT,2019,steering,member,Artur Ekert,CQT Singapore and Oxford University,
QCRYPT,2019,steering,member,Nicolas Gisin,Université de Genève,
QCRYPT,2019,steering,member,Richard Hughes,Unaffiliated,
QCRYPT,2019,steering,member,Michele Mosca,"IQC, University of Waterloo",
QCRYPT,2019,steering,member,Jian-Wei Pan,University of Science and Technology of China,
QCRYPT,2019,organizing,member,Gilles Brassard,Université de Montréal,
QCRYPT,2019,organizing,member,Claude Crépeau,McGill University,
QCRYPT,2019,organizing,member,Sébastien Gambs,Université du Québec à Montréal,
QCRYPT,2019,organizing,member,Louis Salvail,Université de Montréal,
