venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QCRYPT,2019,poster,Two protocols in Twin-Field QKD,,Xiang-Bin Wang,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Leftover hashing from quantum error correction: Unifying the two approaches to the security proof of quantum key distribution,,Toyohiro Tsurumaru,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Attack-resistant quantum random number generator based on the interference of laser pulses with random phase,,Roman Shakhovoy;Violetta Sharoglazova;Alexandr Udaltsov;Vladimir Kurochkin;Yury Kurochkin,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,On-chip near-perfect quality entanglement for multi-user quantum key distribution,,Dorian Oser;Florent Mazeas;Carlos Alonso Ramos;Xavier Le Roux;Laurent Vivien;Sébastien Tanzilli;Éric Cassan;Laurent Labonté,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Quantum key distribution secure against malicious optical devices and classical post-processing units,,Hoi-Kwong Lo;Marcos Curty,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Quantum key distribution with simply characterized light sources,,Akihiro Mizutani;Toshihiko Sasaki;Yuki Takeuchi;Kiyoshi Tamaki;Masato Koashi,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Multilayer Structure of a Scalable Quantum Key Distribution (QKD) Network,,Andrey Zhilyaev;Anastasiia Nikolaeva;Mikhail Borodin;Vladimir Sergeev,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Optimal collective CV-QKD attack through all-optical teleportation,,Spyros Tserkis;Nedasadat Hosseinidehaj;Nathan Walk;Timothy C. Ralph,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Continuous-variable QKD network in Qingdao,,Yichen Zhang;Ziyang Chen;Bingjie Chu;Chao Zhou;Xiangyu Wang;Yijia Zhao;Yifan Xu;Chao Xu;Hongjie Wang;Ziyong Zheng;Yundi Huang;Chunchao Xu;Xiaoxiong Zhang;Tao Shen;Ge Huang;Yunwu Zheng;Zhaoxuan Fei;Weinan Huang;Menglin Zhu;Luyu Huang;Bin Luo;Song Yu;Hong Guo,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Verifiable Hybrid Secret Sharing: Reducing Quantum Resources,,Victoria Lipinska;Glaucia Murta;Stephanie Wehner,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Practical quantum key distribution with non-phase-randomized coherent states,,Li Liu;Yukun Wang;Charles Ci Wen Lim;Emilien Lavie;Arno Ricou;Chao Wang;Fenzhuo Guo,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Qubit-based Quantum Key Recycling over a noisy channel,,Daan Leermakers;Boris Škoric̀,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Coherent State Oblivious Transfer using Homodyne Detection,,David Reichmuth,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,An approach for security evaluation and certification of a complete quantum communication system,,Shihan Sajeed;Poompong Chaiwongkhot;Anqi Huang;Vadim Makarov;Hao Qin;Vladimir Egorov;Artur Gleim;Anton Kozubov;Andrei Gaidash;Vladimir Chistiakov;Artur Vasiliev,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Asymptotic security of discrete-modulation protocols for continuous-variable quantum key distribution,,Eneet Kaur;Saikat Guha;Mark M. Wilde,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Achieving high key rates in satellite-based QKD,,Sebastian Ecker;Bo Liu;Matthias Fink;Johannes Handsteiner;Dominik Rauch;Fabian Steinlechner;Thomas Scheidl;Anton Zeilinger;Rupert Ursin,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
QCRYPT,2019,poster,Quantum Key Distribution with Small Satellites,,Ömer Bayraktar;Peter Freiwang;Daniel Garbe;Matthias Grünefeld;Roland Haber;Lukas Knips;Christoph Marquardt;Leonhard Mayr;Florian Moll;Jonas Pudelko;Benjamin Rödiger;Wenjamin Rosenfeld;Klaus Schilling;Christopher Schmidt;Harald Weinfurter,,,,,,,QCrypt 2019,,Source: https://qcrypt.iaqi.org/2019/scientific-program/poster-session-monday-26-august-2019/,,,
