venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2003,invited,Polynomial-time quantum algorithms for Pell's equation and the principal ideal problem,Sean Hallgren,Sean Hallgren,,,,https://qip.iaqi.org/2003/slides/1220-hallgren.pdf,https://player.vimeo.com/video/1192192422?h=427ad447ac,,,,2002-12-13,09:15,45
QIP,2003,invited,Hidden translation and orbit coset in quantum computing,Miklos Santha,Miklos Santha,,,,https://qip.iaqi.org/2003/slides/1222-santha.pdf,https://player.vimeo.com/video/939556004?h=560cac1834,,,,2002-12-13,10:30,45
QIP,2003,invited,On the dihedral hidden subgroup problem,Oded Regev,Oded Regev,"New York University, Courant Institute",,,https://qip.iaqi.org/2003/slides/1223-regev.pdf,https://player.vimeo.com/video/1155586601?h=cd0c06094f,,,,2002-12-13,11:15,45
QIP,2003,invited,Unknown quantum operations: A de Finetti representation theorem,Ruediger Schack,Ruediger Schack,,,,https://qip.iaqi.org/2003/slides/1225-schack.pdf,https://videodl.slmath.org/10105/10105-10105-QuickTime.mp4,,,,2002-12-13,14:00,45
QIP,2003,invited,"Universal source coding, soft tomography, and universal concentration",Keiji Matsumoto,Keiji Matsumoto,,,,https://qip.iaqi.org/2003/slides/1226-matsumoto.pdf,https://videodl.slmath.org/10106/10106-10106.mp4,,,,2002-12-13,14:45,45
QIP,2003,invited,Majorization and quantum information,Michael Nielsen,Michael Nielsen,,,,,https://videodl.slmath.org/10107/10107-10107.mp4,,,,2002-12-13,16:00,45
QIP,2003,invited,Speedup by quantum walk,Edward Farhi,Edward Farhi,,,,https://qip.iaqi.org/2003/slides/1230-farhi.pdf,https://player.vimeo.com/video/1063738064?h=a9edc23bdd,,,,2002-12-14,09:15,45
QIP,2003,invited,Adiabatic quantum computation: Universality and tools,Dorit Aharonov,Dorit Aharonov,The Hebrew University of Jerusalem,,,https://qip.iaqi.org/2003/slides/1232-aharonov.pdf,https://videodl.slmath.org/10109/10109-10109.mp4,,,,2002-12-14,10:30,45
QIP,2003,invited,On the quantum derandomization of algorithms,Michele Mosca,Michele Mosca,,,,https://qip.iaqi.org/2003/slides/1233-mosca.pdf,https://videodl.slmath.org/10110/10110-10110.mp4,,,,2002-12-14,11:15,45
QIP,2003,invited,Capturing quantum complexity classes via quantum channels,John Watrous,John Watrous,University of Waterloo,,,https://qip.iaqi.org/2003/slides/1235-watrous.pdf,https://player.vimeo.com/video/1019216384?h=2e269ca2b9,,,,2002-12-14,14:00,45
QIP,2003,invited,A length n QECC probabilistically correcting (n-1)/2 arbitrary errors,Claude Crépeau,Claude Crépeau,,,,https://qip.iaqi.org/2003/slides/1236-crepeau.pdf,https://videodl.slmath.org/10112/10112-10112.mp4,,,,2002-12-14,14:45,45
QIP,2003,invited,Non-Abelian stabilizer codes for quantum error correction,Mary Beth Ruskai,Mary Beth Ruskai,Tufts University,,,https://qip.iaqi.org/2003/slides/1238-ruskai.pdf,https://player.vimeo.com/video/1155535087?h=ffd4fac498,,,,2002-12-14,16:00,45
