venue,year,paper_type,title,speaker,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2008,invited,,Dorit Aharonov,Dorit Aharonov,Hebrew University,,,,,,,,,,50
QIP,2008,invited,,Andris Ambainis,Andris Ambainis,University of Waterloo and University of Latvia,,,,,,,,,,50
QIP,2008,invited,,Avraham Ben-Aroya,Avraham Ben-Aroya,Tel-Aviv university,,,,,,,,,,50
QIP,2008,invited,,Fernando Brandao,Fernando Brandao,"Institute of Mathematical Sciences, Imperial College London",,,,,,,,,,50
QIP,2008,invited,,Patrick Hayden,Patrick Hayden,McGill University,,,,,,,,,,50
QIP,2008,invited,,Oded Regev,Oded Regev,Tel-Aviv University,,,,,,,,,,50
QIP,2008,invited,,Ben Reichardt,Ben Reichardt,California Institute of Technology,,,,,,,,,,50
QIP,2008,invited,,Renato Renner,Renato Renner,Cambridge,,,,,,,,,,50
QIP,2008,invited,,Falk Unger,Falk Unger,"CWI, Amsterdam",,,,,,,,,,50
QIP,2008,invited,,Michael Wolf,Michael Wolf,"Max-Planck-Institute for Quantumoptics, Garching",,,,,,,,,,50
QIP,2008,regular,Simulating Quantum Correlations with Finite Communication.,Oded Regev,Oded Regev;Ben Toner,,,,,,,,,,,30
QIP,2008,regular,The private classical capacity with a symmetric side channel,Graeme Smith,Graeme Smith,,,,,,,,,,,30
QIP,2008,regular,Using Entanglement in Quantum Multi-Prover Interactive Proofs,Julia Kempe,Julia Kempe;Hirotada Kobayashi;Keiji Matsumoto;Thomas Vidick,,,,,,,,,,,30
QIP,2008,regular,"An efficient quantum algorithm for  the hidden subgroup problem in nil-2
groups",Gabor Ivanyos,Gabor Ivanyos;Luc Sanselme;Miklos Santha,,,,,,,,,,,30
QIP,2008,regular,Codeword Stabilized Quantum Codes,Andrew Cross,Andrew Cross;Graeme Smith;John Smolin;Bei Zeng,,,,,,,,,,,30
QIP,2008,regular,"Counterexamples to additivity of minimum output p-Renyi entropy for p
close to 0",Toby Cubitt,Toby Cubitt;Aram Harrow;Debbie Leung;Ashley Montanaro;Andreas Winter,,,,,,,,,,,30
QIP,2008,regular,"Classical approximation schemes for the ground-state energy of quantum
and classical Ising spin glasses on planar graphs",Nikhil Bansal,Nikhil Bansal;Sergey Bravyi;Barbara Terhal,,,,,,,,,,,30
QIP,2008,regular,Quantum entropic security and approximate quantum encryption,Simon-Pierre Desrosiers,Simon-Pierre Desrosiers;Frederic Dupuis,,,,,,,,,,,30
QIP,2008,regular,The Unique Games Conjecture with Entangled Provers is False,Julia Kempe,Julia Kempe;Oded Regev;Ben Toner,,,,,,,,,,,30
QIP,2008,regular,Anonymous quantum communication,Gilles Brassard,Gilles Brassard;Anne Broadbent;Joseph Fitzsimons;Sebastien Gambs;Alain Tapp,,,,,,,,,,,30
QIP,2008,regular,Secure Identification and QKD in the Bounded-Quantum-Storage Model,Ivan Damgaard,Ivan Damgaard;Serge Fehr;Louis Salvail;Christian Schaffner,,,,,,,,,,,20
QIP,2008,regular,"Quantum Reference Frames and the Classification of
Rotationally-Invariant Maps",Jean Christian Boileau,Jean Christian Boileau;Lana Sheridan;Martin Laforest;Stephen Bartlett,,,,,,,,,,,20
QIP,2008,regular,A Tight High-Order Entropic Quantum Uncertainty Relation With Applications,Ivan Damgaard,Ivan Damgaard;Serge Fehr;Renato Renner;Louis Salvail;Christian Schaffner,,,,,,,,,,,20
QIP,2008,regular,Device-independent security of Quantum Key Distribution,Stefano Pironio,Stefano Pironio;Antonio Acin;Nicolas Brunner;Nicolas Gisin;Serge Massar;Valerio Scarani,,,,,,,,,,,20
QIP,2008,regular,Higher entropic uncertainty relations for anti-commuting observables,Stephanie Wehner,Stephanie Wehner;Andreas Winter,,,,,,,,,,,20
QIP,2008,regular,"Quantum probabilities, semidefinite programming, and optimization over
Hilbert spaces",Stefano Pironio,Stefano Pironio;Miguel Navascues;Antonio Acin,,,,,,,,,,,20
QIP,2008,regular,The LU-LC conjecture is false,Zhengfeng Ji,Zhengfeng Ji;Jianxin Chen;Zhaohui Wei;Mingsheng Ying,,,,,,,,,,,20
QIP,2008,regular,Quantum Copy-Protection,Scott Aaronson,Scott Aaronson,,,,,,,,,,,20
QIP,2008,regular,On the Power of Entangled Provers: Immunizing games against entanglement,Julia Kempe,Julia Kempe;Hirotada Kobayashi;Keiji Matsumoto;Ben Toner;Thomas Vidick,,,,,,,,,,,20
QIP,2008,regular,Determinism in Measurement based quantum computation,Daniel E. Browne,Daniel E. Browne;Elham Kashefi;Mehdi Mhalla;Simon Perdrix,,,,,,,,,,,20
QIP,2008,regular,"Phase transition of computational power in the resource states for
one-way quantum computation",Dan Browne,Dan Browne;Matthew Elliot;Steven Flammia;Seth Merkel;Akimasa Miyake;Anthony Short,,,,,,,,,,,20
QIP,2008,regular,Quantum expanders from any classical Cayley graph expander,Aram Harrow,Aram Harrow,,,,,,,,,,,20
QIP,2008,regular,"Generalized Tsirelson Inequalities, Commuting-Operator Provers, and
Multi-Prover Interactive Proof Systems",Tsuyoshi Ito,Tsuyoshi Ito;Hirotada Kobayashi;Daniel Preda;Xiaoming Sun;Andrew C.-C. Yao,,,,,,,,,,,20
QIP,2008,regular,Self-teleportation and its application on LOCC estimation and other tasks,Keiji Matsumoto,Keiji Matsumoto,,,,,,,,,,,20
QIP,2008,regular,Unbounded-Error Classical and Quantum Communication Complexity,Kazuo Iwama,Kazuo Iwama;Harumichi Nishimura;Rudy Raymond;Shigeru Yamashita,,,,,,,,,,,20
QIP,2008,regular,Sampling of min-entropy relative to quantum knowledge,Robert Koenig,Robert Koenig;Renato Renner,,,,,,,,,,,20
QIP,2008,regular,"De Finetti theorems for finitely exchangeable conditional probability=20
distributions",Matthias Christandl,Matthias Christandl;Ben Toner,,,,,,,,,,,20
QIP,2008,regular,Quantum hacking: experimental demonstration of time-shift attack,Yi Zhao,Yi Zhao;Fred Fung;Bing Qi;Christine Chen;Hoi-Kwong Lo,,,,,,,,,,,20
QIP,2008,regular,The complexity of simulating non-signaling distributions,Julien Degorre,Julien Degorre;Marc Kaplan;Sophie Laplante;Jeremie Roland,,,,,,,,,,,20
QIP,2008,regular,Completely Entangled Random Subspaces,Jonathan Walgate,Jonathan Walgate;Andrew Scott,,,,,,,,,,,20
QIP,2008,poster,Graph identification by quantum walks,Jingbo Wang,Jingbo Wang;Brendan Douglas,,,,,,,,,,,
QIP,2008,poster,A Fast Quantum Circuit for Addition with Few Qubits,Yasuhiro Takahashi,Yasuhiro Takahashi;Noboru Kunihiro,,,,,,,,,,,
QIP,2008,poster,Cryptography from Noisy Quantum Storage,Christian Schaffner,Christian Schaffner;Barbara Terhal;Stephanie Wehner,,,,,,,,,,,
QIP,2008,poster,"Quantum Protocols using Quantum
Orthogonal States: ``Collapsing Quantum Digital Signatures'' and
``Quantum Identity Authentication''",Go Kato,Go Kato;Yasuhito Kawano,,,,,,,,,,,
