venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2015,poster,Quantum computing with the quad-rail lattice,,Rafael Alexander;Nicolas Menicucci,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,LOCC Conversion via Entanglement Storage,,Wataru Kumagai;Masahito Hayashi,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Non-signalling parallel repetition using de Finetti reductions,,Rotem Arnon-Friedman;Renato Renner;Thomas Vidick,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Fault-tolerant Quantum Computation in Multi-qubit Large Block Codes,,Todd A. Brun;Yi-Cong Zheng;Kung-Chuan Hsu;Joshua Job;Ching-Yi Lai,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Ground State Connectivity of Local Hamiltonians,,Sevag Gharibian;Jamie Sikora,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Optimal purification of displaced thermal states,,Xiaobin Zhao;Giulio Chiribella,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,QMA with subset state witnesses,,Alex B. Grilo;Iordanis Kerenidis;Jamie Sikora,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,On the one-shot zero-error classical capacity of classical-quantum channels assisted by quantum non-signalling correlations,,Ching-Yi Lai;Runyao Duan,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Quantum public-key cryptosystem without quantum channels between any two users,,Xiaoyu Li;Yun Shang,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Quantum Algorithms for Finding Constant-sized Sub-hypergraphs,,Francois Le Gall;Harumichi Nishimura;Seiichiro Tani,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Minimum guesswork discrimination between quantum states,,Weien Chen;Yongzhi Cao;Hanpin Wang;Yuan Feng,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Hyperaccuracy and Error Scaling in Gate Set Tomography,,Kenneth Rudinger;Erik Nielsen;John K. Gamble;Robin Blume-Kohout,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Post-processing of the oblivious key in quantum private query,,Fei Gao;Bin Liu;Wei Huang;Qiao-Yan Wen,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Achieving high fidelity in a simulation of Grovers algorithm in an Ising spin system,,Neris Ilano;Ronald Banzon;Cristine Villagonzalo,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Distinguishing maximally entangled states by one-way local operations and classical communication,,Zhi-Chao Zhang;Ke-Qin Feng;Fei Gao;Qiao-Yan Wen,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Construction and properties of a novel class of private states in arbitrary dimensions,,Michal Studzinski;Adam Rutkowski;Piotr Cwiklinski;Michal Horodecki,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,"Quantum coherence, time-translation symmetry and thermodynamics",,Kamil Korzekwa;Matteo Lostaglio;David Jennings;Terry Rudolph,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,QKD Simulation,,Gabriela Mogos,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Graph state data structures,,Liming Zhao;Carlos A. Perez-Delgado;Joseph F.Fitzsimons,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Quantum Minimax Theorem,,Fuyuhiko Tanaka,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Simulation of non-localized to localized transition in discrete time quantum walks,,Aurel Gabris;Hynek Lavicka;Janos K. Asboth;Igor Jex,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Protected gates for topological quantum field theories,,Michael E. Beverland;Robert König;Fernando Pastawski;John Preskill;Sumit Sijher,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Randomness of post-selected data,,Le Phuc Thinh;Gonzalo de la Torre;Jean-Daniel Bancal;Nicolas Brunner;Valerio Scarani,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Universal transversal gates with color codes:a simplified approach,,Aleksander Kubica;Michael E. Beverland,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
QIP,2015,poster,Entanglement and mixedness in general probabilistic theories,,Giulio Chiribella;Carlo Maria Scandolo,,,,,,,,,Source: https://qip.iaqi.org/2015/AcceptedPosters.php.html,,,
