venue,year,paper_type,title,speaker,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2015,tutorial,[Arad],Arad,Arad,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,tutorial,[Svore],Svore,Svore,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,plenary,[Raz],Raz,Raz,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,plenary,[Wineland],Wineland,Wineland,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,plenary,[Tillich],Tillich,Tillich,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,plenary,[49 Mari et al.],49 Mari et al.,49 Mari et al.,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,plenary,[63 Fitzsimons & Vidick],63 Fitzsimons & Vidick,63 Fitzsimons & Vidick,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[5 Montanaro],5 Montanaro,5 Montanaro,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[191 Wallman & Flammia],191 Wallman & Flammia,191 Wallman & Flammia,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[9 Pastawski & Yoshida],9 Pastawski & Yoshida,9 Pastawski & Yoshida,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[115 Duan & Winter],115 Duan & Winter,115 Duan & Winter,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[189 Bravyi & Hastings],189 Bravyi & Hastings,189 Bravyi & Hastings,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[Free Discussions],Free Discussions,Free Discussions,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[Free Discussions],Free Discussions,Free Discussions,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,tutorial,[Arad],Arad,Arad,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,tutorial,[Svore],Svore,Svore,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[12 Le Gall],12 Le Gall,12 Le Gall,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[125 Brandao & Cramer],125 Brandao & Cramer,125 Brandao & Cramer,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[47 Piani & Watrous],47 Piani & Watrous,47 Piani & Watrous,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[103 Berta et al.],103 Berta et al.,103 Berta et al.,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[111 Caves et al.],111 Caves et al.,111 Caves et al.,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[31 O'Donnell & Wright],31 O'Donnell & Wright,31 O'Donnell & Wright,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[76 Kastoryano & Brandao],76 Kastoryano & Brandao,76 Kastoryano & Brandao,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[28 Baeuml et al.],28 Baeuml et al.,28 Baeuml et al.,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[154 Cleve et al.],154 Cleve et al.,154 Cleve et al.,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[74 Delfosse et al.],74 Delfosse et al.,74 Delfosse et al.,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[Free Discussions],Free Discussions,Free Discussions,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[Free Discussions],Free Discussions,Free Discussions,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[71 Lin & Lin],71 Lin & Lin,71 Lin & Lin,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,"[137 Sahinoglu et.,176 Buerschaper et al.]","137 Sahinoglu et.,176 Buerschaper et al.","137 Sahinoglu et.,176 Buerschaper et al.",,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[106 Matthews & Leung],106 Matthews & Leung,106 Matthews & Leung,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[174 Miller & Shi],174 Miller & Shi,174 Miller & Shi,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
QIP,2015,regular,[139 Movassagh & Shor],139 Movassagh & Shor,139 Movassagh & Shor,,,,,,,,Title not available in program grid; cell text used as placeholder,,09:20,
