venue,year,committee_type,position,full_name,affiliation
QIP,2019,local_organizing,Chair,Felix Leditzky,"JILA, University of Colorado Boulder"
QIP,2019,local_organizing,member,Graeme Smith,JILA & University of Colorado Boulder
QIP,2019,program,Member,Antonio Acín,ICFO
QIP,2019,program,Member,Johannes Bausch,University of Cambridge
QIP,2019,program,Member,Jop Briët,CWI
QIP,2019,program,Member,Andrew Childs,University of Maryland
QIP,2019,program,Member,Giulio Chiribella,University of Hong Kong and University of Oxford
QIP,2019,program,Chair,Matthias Christandl,University of Copenhagen
QIP,2019,program,Member,Richard Cleve,University of Waterloo
QIP,2019,program,Member,Elizabeth Crosson,University of New Mexico
QIP,2019,program,Member,Lídia del Rio,ETH Zurich
QIP,2019,program,Member,Frédéric Dupuis,"CNRS, LORIA, Université de Lorraine"
QIP,2019,program,Member,Omar Fawzi,ENS Lyon
QIP,2019,program,Member,Steve Flammia,University of Sydney
QIP,2019,program,Member,Raul Garcia-Patron,Universite Libre de Bruxelles
QIP,2019,program,Member,David Gosset,University of Waterloo
QIP,2019,program,Member,Jeongwan Haah,Microsoft Research
QIP,2019,program,Member,Matt Hastings,Microsoft Research
QIP,2019,program,Member,Stacey Jeffery,"QuSoft, CWI"
QIP,2019,program,Member,Elham Kashefi,"University of Edinburgh and CNRS, Sorbonne universite"
QIP,2019,program,Member,Iordanis Kerenidis,"CNRS, Université Paris Diderot"
QIP,2019,program,Member,Robert König,Technical University of Munich
QIP,2019,program,Member,Robin Kothari,Microsoft Research
QIP,2019,program,Member,Cecilia Lancien,Université Paul Sabatier Toulouse
QIP,2019,program,Member,Francois Le Gall,Kyoto University
QIP,2019,program,Member,Troy Lee,University of Technology Sydney
QIP,2019,program,Member,Ke Li,Harbin Institute of Technology
QIP,2019,program,Member,Yi-Kai Liu,NIST/University of Maryland
QIP,2019,program,Member,Fernando Pastawski,Psi Quantum
QIP,2019,program,Member,David Pérez-García,Universidad Complutense de Madrid
QIP,2019,program,Member,Ben Reichardt,USC
QIP,2019,program,Member,Joseph M. Renes,ETH Zurich
QIP,2019,program,Member,Norbert Schuch,"Max-Planck-Institute of Quantum Optics, Munich"
QIP,2019,program,Member,Krysta Svore,Microsoft Research
QIP,2019,program,Member,Wim van Dam,"University of California, Santa Barbara"
QIP,2019,program,Member,Andreas Winter,Universitat Autònoma de Barcelona
QIP,2019,program,Member,Man-hong Yung,Southern University of Science and Technology
QIP,2019,steering,Member,Andris Ambainis,University of Latvia
QIP,2019,steering,Member,Toby Cubitt,UCL
QIP,2019,steering,Member,Nilanjana Datta,University of Cambridge
QIP,2019,steering,Member,Debbie Leung,"IQC, University of Waterloo"
QIP,2019,steering,Member,Ashley Montanaro,University of Bristol
QIP,2019,steering,Member,Renato Renner,ETH Zürich
QIP,2019,steering,Chair,Graeme Smith,JILA & University of Colorado Boulder
QIP,2019,steering,Member,Barbara Terhal,TU Delft
QIP,2019,steering,Member,Bei Zeng,University of Guelph
