venue,year,committee_type,position,full_name,affiliation,role_title
QIP,2025,steering,chair,David Gosset,"University of Waterloo, Perimeter Institute",
QIP,2025,steering,co_chair,Sandy Irani,"University of California, Irvine",
QIP,2025,steering,member,Salman Beigi,Institute for Research in Fundamental Sciences,
QIP,2025,steering,member,Giulio Chiribella,The University of Hong Kong,
QIP,2025,steering,member,Omar Fawzi,ENS Lyon,
QIP,2025,steering,member,Aram Harrow,Massachusetts Institute of Technology,
QIP,2025,steering,member,Min-Hsiu Hsieh,Hon Hai (Foxconn) Quantum Computing Research Center,
QIP,2025,steering,member,Elham Kashefi,"CNRS, University of Edinburgh",
QIP,2025,steering,member,Barbara Kraus,University of Innsbruck,
QIP,2025,steering,member,Iman Marvian,Duke University,
QIP,2025,steering,member,Frank Verstraete,Ghent University,
QIP,2025,steering,member,Thomas Vidick,California Institute of Technology,
QIP,2025,program,member,Albert H. Werner,University of Copenhagen,
QIP,2025,program,member,Alexander Stottmeister,Universität Hannover,
QIP,2025,program,member,Alvaro Alhambra,Spanish National Research Council,
QIP,2025,program,member,Anand Natarajan,MIT,
QIP,2025,program,member,Andreas Bluhm,Université Grenoble Alpes,
QIP,2025,program,chair,Angela Capel,University of Cambridge,
QIP,2025,program,member,Anirban Chowdhury,IBM,
QIP,2025,program,member,Anthony Leverrier,INRIA,
QIP,2025,program,member,Antonio Anna Mele,Freie Universität Berlin,
QIP,2025,program,member,Anurag Anshu,Harvard,
QIP,2025,program,member,Bartosz Regula,RIKEN,
QIP,2025,program,member,Bei Zeng,University of Texas at Dallas,
QIP,2025,program,member,Bill Fefferman,University of Chicago,
QIP,2025,program,member,Changpeng Shao,"Academy of Mathematics and Systems Science, Chinese Academy of Sciences",
QIP,2025,program,member,Damian Markham,Sorbonne Université,
QIP,2025,program,member,Daniel Ranard,Caltech,
QIP,2025,program,member,David Sutter,IBM,
QIP,2025,program,member,Di Fang,Duke University,
QIP,2025,program,member,Dmitri Maslov,Google,
QIP,2025,program,member,Dominik Wild,Max-Planck-Institut für Quantenoptik,
