given_name,family_name,affiliation,country,roles
Albert H.,Werner,University of Copenhagen,,pc
Alexander,Stottmeister,"Universität Hannover",,pc
Alvaro,Alhambra,Spanish National Research Council,,pc
Anand,Natarajan,MIT,,pc
Andreas,Bluhm,"Université Grenoble Alpes",,pc
Angela,Capel,University of Cambridge,GB,chair pc
Anirban,Chowdhury,IBM,,pc
Anthony,Leverrier,INRIA,,pc
Antonio Anna,Mele,"Freie Universität Berlin",,pc
Anurag,Anshu,Harvard,,pc
Bartosz,Regula,RIKEN,,pc
Bei,Zeng,University of Texas at Dallas,,pc
Bill,Fefferman,University of Chicago,,pc
Changpeng,Shao,"Academy of Mathematics and Systems Science, Chinese Academy of Sciences",,pc
Damian,Markham,"Sorbonne Université",,pc
Daniel,Ranard,Caltech,,pc
David,Sutter,IBM,,pc
Di,Fang,Duke University,,pc
Dmitri,Maslov,Google,,pc
Dominik,Wild,"Max-Planck-Institut für Quantenoptik",,pc
Eleni,Diamanti,"CNRS & Sorbonne University",,pc
Elham,Kashefi,"University of Edinburgh & CNRS - Sorbonne Université",,pc
Eugene,Tang,Northeastern University,,pc
Felix,Huber,"Université de Bordeaux",,pc
Fermi,Ma,UC Berkeley,,pc
Francesco,Buscemi,University of Nagoya,,pc
"François",Le Gall,Nagoya University,,pc
Frederic,Dupuis,"Université de Montréal",,pc
Giulio,Chiribella,QICI University of Hong Kong,,pc
Gorjan,Alagic,University of Maryland,,pc
Hamoon,Mousavi,UC Berkeley,,pc
Hao-Chung,Cheng,National Taiwan University,,pc
Hayata,Yamasaki,University of Tokyo,,pc
Hui Khoon,Ng,"CQT, NUS",,pc
Iordanis,Kerenidis,"CNRS - Université Paris Cité",,pc
Jeongwan,Haah,Microsoft / Stanford,,pc
Johannes Jakob,Meyer,"Freie Universität Berlin",,pc
John,Wright,UC Berkeley,,pc
Jonas,Haferkamp,Harvard,,pc
Joseph M.,Renes,ETH Zurich,,pc
Kohtaro,Kato,Nagoya University,,pc
Laura,"Mančinska",University of Copenhagen,,pc
Liang,Jiang,University of Chicago,,pc
Lin,Lin,UC Berkeley,,pc
Lukasz,Fidkowski,University of Washington,,pc
Marc-Olivier,Renou,INRIA,,pc
Marco,Tomamichel,National University of Singapore,SG,pc
Mario,Szegedy,Rutgers University,,pc
Markus,"Mülller","Institute for Quantum Optics and Quantum Information, Vienna",,pc
Martin,Kliesch,Hamburg University of Technology,,pc
Matthias C.,Caro,"University of Warwick and Freie Universität Berlin",,pc
Mehdi,Soleimanifar,Caltech,,pc
Michael,Ben-Or,Hebrew University of Jerusalem,,pc
Michael,Beverland,IBM,,pc
Michael,Kastoryano,"University of Copenhagen & AWS",,pc
Michael,Wolf,Technical University of Munich,DE,chair pc
Min-Hsiu,Hsieh,Hon Hai Research Institute,,pc
Nat,Tantivasadakarn,Caltech,,pc
Nicolas,Delfosse,IonQ,,pc
Penghui,Yao,Nanjing University,,pc
Peter,"Høyer",University of Calgary,,pc
Peter,Vrana,Budapest University of Technology and Economics,,pc
Rahul,Trivedi,"Max-Planck-Institut für Quantenoptik",,pc
Ramona,Wolf,"Universität Siegen",,pc
Richard,Kueng,"Johannes Kepler Universität Linz",,pc
Robert,Koenig,Technical University of Munich,DE,chair pc
Robert,Salzmann,"École normale supérieure de Lyon",,pc
Ronald,de Wolf,"QuSoft, CWI and University of Amsterdam",,pc
Ryan,Babbush,Google,,pc
Ryuji,Takagi,University of Tokyo,,pc
Saleh,Rahimi-Keshari,Institute for Research in Fundamental Sciences,,pc
Scott,Aaronson,University of Texas,,pc
Sergey,Bravyi,IBM,,pc
Sevag,Gharibian,"Universität Paderborn",,pc
Shelby,Kimmel,Middlebury College,,pc
Shengyu,Zhang,Tencent,,pc
Simon,Apers,"CNRS, Université Paris Cité, IRIF",,pc
Sisi,Zhou,Perimeter Institute for Theoretical Physics,,pc
Soojoon,Lee,Kyung Hee University,,pc
Srinivasan,Arunachalam,IBM Quantum,,pc
Stephen,Jordan,Google,,pc
Subhasree,Patro,"Eindhoven University of Technology & CWI",,pc
Tamara,Kohler,Stanford,,pc
Tomoyuki,Morimae,Yukawa Institute for Theoretical Physics,,pc
Ulysse,Chabaud,INRIA,,pc
Uma,Girish,Columbia University,,pc
Xin,Wang,Hong Kong University of Science and Technology - Guangzhou,,pc
Yingkai,Ouyang,University of Sheffield,,pc
Yuxin,Wang,University of Maryland,,pc
Zhengfeng,Ji,Tsinghua University,,pc
Zoltan,Zimboras,Wigner Research Center for Physics,,pc
