venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2025,tutorial,Tutorial: Quantum Gibbs Sampling,Cambyse Rouzé,Cambyse Rouzé,,,,,https://www.youtube.com/watch?v=Rfnk3XNbSbI,Rfnk3XNbSbI,Tutorial,,source_type=claude_extraction; yt_match=0.50; video_pass=2026-06-22; speaker_verified=video,2025-02-22,09:00,210
QIP,2025,tutorial,Tutorial: Quantum Learning and Certification,Hsin-Yuan Huang,Hsin-Yuan Huang,,,,,https://www.youtube.com/watch?v=kuccavqiUY0,kuccavqiUY0,Tutorial,,source_type=claude_extraction; yt_match=0.50; video_pass=2026-06-22; speaker_verified=video,2025-02-22,14:00,210
QIP,2025,tutorial,Tutorial: Quantum Error Correction,Victor Albert,Victor Albert,,,,,,,Tutorial,,source_type=claude_extraction,2025-02-23,09:00,210
QIP,2025,tutorial,Tutorial: Quantum Cryptography and TCS,Dakshita Khurana,Dakshita Khurana,,,,,,,Tutorial,,source_type=claude_extraction,2025-02-23,14:00,210
QIP,2025,invited,Logical computation demonstrated with a neutral atom quantum processor,Ben Reichardt,Ben Reichardt,,,,,https://www.youtube.com/watch?v=csms8oGdaHk,csms8oGdaHk,Long Plenary 4,,source_type=claude_extraction; yt_match=0.78; video_pass=2026-06-22; speaker_source=video_desc,2025-02-26,11:00,60
QIP,2025,invited,High-Temperature Gibbs States are Unentangled and Efficiently Preparable,Ewin Tang,Ainesh Bakshi; Allen Liu; Ankur Moitra; Ewin Tang,,,,,https://www.youtube.com/watch?v=nQsndEQ2-kQ,nQsndEQ2-kQ,Long Plenary 3,,source_type=claude_extraction; yt_match=0.78; video_pass=2026-06-22; speaker_source=video_desc,2025-02-26,09:00,60
QIP,2025,invited,Optimization by Decoded Quantum Interferometry,Stephen Jordan,Stephen Jordan; Noah Shutty; Mary Wootters; Adam Zalcman; Alexander Schmidhuber; Robbie King; Sergei Isakov; Ryan Babbush,,,,,https://www.youtube.com/watch?v=TfX7ZXM71XY,TfX7ZXM71XY,Long Plenary 1,,source_type=claude_extraction; yt_match=0.67; video_pass=2026-06-22; speaker_source=video_desc,2025-02-24,09:30,60
QIP,2025,plenary_long,Generalized Quantum Stein’s Lemma and Second Law of Quantum Resource Theories,Masahito Hayashi,Masahito Hayashi; Hayata Yamasaki,,,,,https://www.youtube.com/watch?v=0Gev6EpQCl8,0Gev6EpQCl8,Long Plenary 2,,source_type=claude_extraction; yt_match=0.60; video_pass=2026-06-22; speaker_source=video_desc,2025-02-25,09:00,60
QIP,2025,plenary_long,Constant-Overhead Magic State Distillation,,Adam Wills; Min-Hsiu Hsieh; Hayata Yamasaki,,,,,https://www.youtube.com/watch?v=gG4qFkP3tGk,gG4qFkP3tGk,Long Plenary 6,best student paper,source_type=claude_extraction,2025-02-27,11:00,60
QIP,2025,plenary_long,Asymptotically Good Quantum Codes with Transversal Non-Clifford Gates,,Louis Golowich; Venkatesan Guruswami,,,,,https://www.youtube.com/watch?v=gG4qFkP3tGk,gG4qFkP3tGk,Long Plenary 6,best student paper,source_type=claude_extraction,2025-02-27,11:00,60
QIP,2025,plenary_long,Good binary quantum codes with transversal CCZ gate,,Quynh T Nguyen,,,,,https://www.youtube.com/watch?v=gG4qFkP3tGk,gG4qFkP3tGk,Long Plenary 6,best student paper,source_type=claude_extraction,2025-02-27,11:00,60
QIP,2025,plenary_long,Quantum LDPC Codes with Transversal Non-Clifford Gates via Products of Algebraic Codes,,Louis Golowich; Ting-Chun Lin,,,,,https://www.youtube.com/watch?v=gG4qFkP3tGk,gG4qFkP3tGk,Long Plenary 6,best student paper,source_type=claude_extraction,2025-02-27,11:00,60
QIP,2025,plenary_long,Random unitaries in extremely low depth,,Thomas Schuster; Jonas Haferkamp; Hsin-Yuan Huang,,,,,https://www.youtube.com/watch?v=_iuWjwMG5Jw,_iuWjwMG5Jw,Long Plenary 5,,source_type=claude_extraction,2025-02-28,09:00,60
QIP,2025,plenary_long,"Approximate Unitary k-Designs from Shallow, Low-Communication Circuits",,Nicholas LaRacuente; Felix Leditzky,,,,,https://www.youtube.com/watch?v=_iuWjwMG5Jw,_iuWjwMG5Jw,Long Plenary 5,,source_type=claude_extraction,2025-02-28,09:00,60
QIP,2025,plenary_short,Reducing the Number of Qubits in Quantum Factoring,Clémence Chevignard,Clémence Chevignard; Pierre-Alain Fouque; André Schrottenloher,,,,,https://www.youtube.com/watch?v=R3yM_58L9pA,R3yM_58L9pA,Short Plenary 2,,source_type=claude_extraction; yt_match=0.71; video_pass=2026-06-22; speaker_source=video_desc,2025-02-24,11:30,30
QIP,2025,plenary_short,Stabilizer bootstrapping: A recipe for efficient agnostic tomography and magic estimation,,Sitan Chen; Weiyuan Gong; Qi Ye; Zhihan Zhang,,,,,https://www.youtube.com/watch?v=9Ae8JKreXwU,9Ae8JKreXwU,Short Plenary 6,,source_type=claude_extraction,2025-02-26,10:00,30
QIP,2025,plenary_short,Learning the closest product state,,Ainesh Bakshi; John Bostanci; William Kretschmer; Zeph Landau; Jerry Li; Allen Liu; Ryan O’Donnell; Ewin Tang,,,,,https://www.youtube.com/watch?v=9Ae8JKreXwU,9Ae8JKreXwU,Short Plenary 6,,source_type=claude_extraction,2025-02-26,10:00,30
QIP,2025,plenary_short,Incompressibility and spectral gaps of random circuits,Jonas Haferkamp,Chi-Fang Chen; Jeongwan Haah; Jonas Haferkamp; Yunchao Liu; Tony Metger; Xinyu Tan,,,,,https://www.youtube.com/watch?v=_-rEBFWfj1Y,_-rEBFWfj1Y,Short Plenary 7,,source_type=claude_extraction; yt_match=0.71; video_pass=2026-06-22; speaker_source=video_desc,2025-02-27,10:00,30
QIP,2025,plenary_short,A solution of the generalised quantum Stein’s lemma,Ludovico Lami,Ludovico Lami,,,,,https://www.youtube.com/watch?v=7_ZIkoy_U7Y,7_ZIkoy_U7Y,Short Plenary 3,,source_type=claude_extraction; yt_match=0.62; video_pass=2026-06-22; speaker_source=video_desc,2025-02-25,10:00,30
QIP,2025,plenary_short,Asymptotic quantification of entanglement with a single copy,,Ludovico Lami; Mario Berta; Bartosz Regula,,,,,https://www.youtube.com/watch?v=7_ZIkoy_U7Y,7_ZIkoy_U7Y,Short Plenary 3,,source_type=claude_extraction,2025-02-25,10:00,30
QIP,2025,plenary_short,The state hidden subgroup problem and an efficient algorithm for locating unentanglement,Adam Bouland,Adam Bouland; Tudor Giurgica-Tiron; John Wright,,,,,https://www.youtube.com/watch?v=UfGRK0K_Jzc,UfGRK0K_Jzc,Short Plenary 1,,source_type=claude_extraction; yt_match=0.60; video_pass=2026-06-22; speaker_source=video_desc,2025-02-24,11:00,30
QIP,2025,plenary_short,How to Construct Random Unitaries,Fermi Ma,Fermi Ma; Hsin-Yuan Huang,,,,,https://www.youtube.com/watch?v=smt7ceRN3rM,smt7ceRN3rM,Short Plenary 4,,source_type=claude_extraction; yt_match=0.67; video_pass=2026-06-22; speaker_source=video_desc,2025-02-25,11:00,30
QIP,2025,plenary_short,A Bound on the Quantum Value of All Compiled Nonlocal Games,Simon Schmidt,Alexander Kulpe; Giulio Malavolta; Connor Paddock; Simon Schmidt; Michael Walter,,,,,https://www.youtube.com/watch?v=fIYXFs-w_-U,fIYXFs-w_-U,Short Plenary 5,,source_type=claude_extraction; yt_match=0.78; video_pass=2026-06-22; speaker_source=video_desc,2025-02-25,11:30,30
QIP,2025,regular,Lifts of quantum CSS codes,Virgile Guemard,Virgile Guemard,,,,,https://www.youtube.com/watch?v=SJbUqWX1tPg,SJbUqWX1tPg,Error Correction 7,,source_type=claude_extraction; yt_match=0.67; video_pass=2026-06-22; speaker_source=video_desc,2025-02-28,15:30,24
QIP,2025,regular,Unconditionally Secure Commitments with Quantum Auxiliary Inputs,,Tomoyuki Morimae; Barak Nehoran; Takashi Yamakawa,,,,,https://www.youtube.com/watch?v=sYhHAloQZ7k,sYhHAloQZ7k,Cryptography 4,,source_type=claude_extraction,2025-02-27,15:30,12
QIP,2025,regular,Unconditionally secure quantum commitments with preprocessing,,Luowen Qian,,,,,https://www.youtube.com/watch?v=sYhHAloQZ7k,sYhHAloQZ7k,Cryptography 4,,source_type=claude_extraction,2025-02-27,15:30,12
QIP,2025,regular,Low-density parity-check codes as stable phases of quantum matter,Chao Yin,Chao Yin; Andrew Lucas,,,,,https://www.youtube.com/watch?v=645LanvgHu8,645LanvgHu8,Error Correction 3,,source_type=claude_extraction; yt_match=0.82; video_pass=2026-06-22; speaker_source=video_desc,2025-02-27,15:30,18
QIP,2025,regular,SDP bounds on quantum codes,Andrew Nemec,Gerard Munné; Andrew Nemec; Felix Huber,,,,,https://www.youtube.com/watch?v=SLkiLYM1pSY,SLkiLYM1pSY,Other Topics in Quantum Computing 2,,source_type=claude_extraction; yt_match=0.67; video_pass=2026-06-22; speaker_source=video_desc,2025-02-28,11:00,15
QIP,2025,regular,Protocols for Creating Anyons and Defects via Gauging,Anasuya Lyons,Anasuya Lyons; Chiu Fan Bowen Lo; Nathanan Tantivasadakarn; Ruben Verresen; Ashvin Vishwanath,,,,,https://www.youtube.com/watch?v=LOyp8GihEZE,LOyp8GihEZE,Many-Body Systems 3,,source_type=claude_extraction; yt_match=0.71; video_pass=2026-06-22; speaker_source=video_desc,2025-02-28,15:30,20
QIP,2025,regular,Computable entanglement cost,Bartosz Regula,Ludovico Lami; Francesco Anna Mele; Bartosz Regula,,,,,https://www.youtube.com/watch?v=5KEYQjxfVwM,5KEYQjxfVwM,Information Theory 5,,source_type=claude_extraction; yt_match=0.60; video_pass=2026-06-22; speaker_source=video_desc,2025-02-28,09:00,18
QIP,2025,regular,Efficient Simulation of Quantum Chemistry Problems in an Enlarged Basis Set,Maxine Luo,Maxine Luo; J. Ignacio Cirac,,,,,https://www.youtube.com/watch?v=V-6lVk05Tgo,V-6lVk05Tgo,Algorithms 3,,source_type=claude_extraction; yt_match=0.80; video_pass=2026-06-22; speaker_source=video_desc,2025-02-25,13:30,30
QIP,2025,regular,Beating Grover search for low-energy estimation and state preparation,Sevag Gharibian,Harry Buhrman; Sevag Gharibian; Zeph Landau; François Le Gall; Norbert Schuch; Suguru Tamaki,,,,,https://www.youtube.com/watch?v=jalaQxISNjE,jalaQxISNjE,Algorithms 1,,source_type=claude_extraction; yt_match=0.80; video_pass=2026-06-22; speaker_source=video_desc,2025-02-24,13:30,22
QIP,2025,regular,Quantum Time-Space Tradeoffs for Matrix Problems,Niels Kornerup,Paul Beame; Niels Kornerup; Michael Whitmeyer,,,,,https://www.youtube.com/watch?v=saKrYzN_6p8,saKrYzN_6p8,Algorithms 2,,source_type=claude_extraction; yt_match=0.75; video_pass=2026-06-22; speaker_source=video_desc,2025-02-24,15:30,24
QIP,2025,regular,The Computational Advantage of MIP* Vanishes in the Presence of Noise,,Yangjing Dong; Honghao Fu; Anand Natarajan; Minglong Qin; Haochen Xu; Penghui Yao,,,,,,,Complexity 2,,source_type=claude_extraction,2025-02-25,13:30,18
QIP,2025,regular,Universal adapters between quantum LDPC codes,,Esha Swaroop; Ted Yoder; Tomas Jochym-O’Connor,,,,,https://www.youtube.com/watch?v=42TYCtUMkD8,42TYCtUMkD8,Error Correction 2,,source_type=claude_extraction,2025-02-24,15:30,17
QIP,2025,regular,Low-Overhead QLDPC Surgery for Logical Measurements,,Andrew W. Cross; Zhiyang He; Patrick Rall; Dominic J. Williamson; Ted Yoder,,,,,https://www.youtube.com/watch?v=42TYCtUMkD8,42TYCtUMkD8,Error Correction 2,,source_type=claude_extraction,2025-02-24,15:30,17
QIP,2025,regular,Quantum memory at nonzero temperature in a thermodynamically trivial system,Yifan Hong,Yifan Hong; Jinkang Guo; Andrew Lucas,,,,,https://www.youtube.com/watch?v=O-5yWgZBxtU,O-5yWgZBxtU,Error Correction 3,,source_type=claude_extraction; yt_match=0.78; video_pass=2026-06-22; speaker_source=video_desc,2025-02-27,15:30,18
QIP,2025,regular,Automatic generation of classical invariants of quantum programs,Matthew Amy,Matthew Amy; Joseph Lunderville,,,,,https://www.youtube.com/watch?v=eoRbDdzbuig,eoRbDdzbuig,Error Correction 1,,source_type=claude_extraction; yt_match=0.75; video_pass=2026-06-22; speaker_source=video_desc,2025-02-24,13:30,18
QIP,2025,regular,Quantum Communication Advantage in TFNP,Siddhartha Jain,Mika Göös; Tom Gur; Siddhartha Jain; Jiawei Li,,,,,https://www.youtube.com/watch?v=GXYxeytxUQA,GXYxeytxUQA,Complexity 6,,source_type=claude_extraction; yt_match=0.67; video_pass=2026-06-22; speaker_source=video_desc,2025-02-27,13:30,18
QIP,2025,regular,Explicit error bounds with commutator scaling for time-dependent product and multi-product formulas,,Kaoru Mizuta; Tatsuhiko N. Ikeda; Keisuke Fujii,,,,,https://www.youtube.com/watch?v=rzTfEPwfPa4,rzTfEPwfPa4,Algorithms 4,,source_type=claude_extraction,2025-02-27,13:30,18
