venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
TQC,2008,invited,Searching an ordered list with a quantum computer,Andrew Childs,Andrew Childs,IQC; Waterloo,,,https://tqc.iaqi.org/2008/doc/program/childs.pdf,,,,,source_type=claude_extraction,2008-01-30,10:00,50
TQC,2008,regular,Classical and Quantum Algorithms for Exponential Congruences,,Wim van Dam;Igor Shparlinski,,,,https://tqc.iaqi.org/2008/doc/program/QC-ExpCong-sld.pdf,,,,,source_type=claude_extraction,2008-01-30,11:10,30
TQC,2008,regular,Quantum Algorithms for Evaluating Min-Max Trees,,Richard Cleve;Dmitry Gavinsky;David Yeung,,,,https://tqc.iaqi.org/2008/doc/program/TQC2008-Min-Max-presentation.pdf,,,,,source_type=claude_extraction,2008-01-30,11:40,30
TQC,2008,invited,Beyond Independence in Quantum Information Theory,Nilanjana Datta,Nilanjana Datta,Cambridge,,,,,,,,source_type=claude_extraction,2008-01-30,13:55,50
TQC,2008,regular,Self-teleportation and its application to LOCC estimation and other tasks,Keiji Matsumoto,Keiji Matsumoto,,,,https://tqc.iaqi.org/2008/doc/program/SelfTeleport-tqc.pdf,,,,,source_type=claude_extraction,2008-01-30,14:45,30
TQC,2008,regular,Entanglement loss along a channel,Francesco Buscemi,Francesco Buscemi,,,,https://tqc.iaqi.org/2008/doc/program/buscemi-talk.pdf,,,,,source_type=claude_extraction,2008-01-30,15:35,30
TQC,2008,regular,Quadratic Form Expansions for Unitaries,,Niel de Beaudrap;Vincent Danos;Elham Kashefi;Martin Roetteler,,,,,,,,,source_type=claude_extraction,2008-01-30,16:05,30
TQC,2008,invited,Entanglement and Multi-Prover Interactive Proofs,Hirotada Kobayashi,Hirotada Kobayashi,NII; Tokyo,,,,,,,,source_type=claude_extraction,2008-01-31,09:30,50
TQC,2008,regular,Improved constructions of quantum automata,,Andris Ambainis;Nikolajs Nahimovs,,,,https://tqc.iaqi.org/2008/doc/program/Presentation.pdf,,,,,source_type=claude_extraction,2008-01-31,10:20,30
TQC,2008,regular,An application of the Deutsch-Jozsa algorithm to formal languages and the word problem for groups,,Simone Severini;Andrea Casaccino;Andrew Duncan;Sarah Rees;Michael Batty,,,,,,,,,source_type=claude_extraction,2008-01-31,11:10,30
TQC,2008,regular,Asymptotic local copying of bipartite pure states,Keiji Matsumoto,Keiji Matsumoto,,,,https://tqc.iaqi.org/2008/doc/program/SelfTeleport-tqc2.pdf,,,,,source_type=claude_extraction,2008-01-31,11:40,30
TQC,2008,invited,Quantum Simulations,Ignacio Cirac,Ignacio Cirac,MPQ; Garching,,,,,,,,source_type=claude_extraction,2008-01-31,13:55,50
TQC,2008,regular,An elementary optical gate for expanding symmetrically shared entanglement,,Toshiyuki Tashima;Sahin Kaya Ozdemir;Takashi Yamamoto;Masato Koashi;Nobuyuki Imoto,,,,,,,,,source_type=claude_extraction,2008-01-31,15:05,30
TQC,2008,regular,A high bandwidth hybrid quantum repeater,,Kae Nemoto;Rod Van Meter;Sebastien Louis;Bill Munro,,,,,,,,,source_type=claude_extraction,2008-01-31,15:35,30
TQC,2008,invited,Quantum extractors,Renato Renner,Renato Renner,ETH; Zurich,,,https://tqc.iaqi.org/2008/doc/program/RRtalk.pdf,,,,,source_type=claude_extraction,2008-02-01,09:30,50
TQC,2008,regular,Quantum Cryptography with Finite Resources,Valerio Scarani,Valerio Scarani;Renato Renner,,,,https://tqc.iaqi.org/2008/doc/program/scarani.pdf,,,,,source_type=claude_extraction,2008-02-01,10:20,30
TQC,2008,regular,Consumer based Quantum Cryptography,,Bill Munro;Jo Duligall;Keith Harrison;John Rarity;Mark Godfrey;Alastair Lynch,,,,https://tqc.iaqi.org/2008/doc/program/consumer.pdf,,,,,source_type=claude_extraction,2008-02-01,11:10,30
TQC,2008,regular,On the Design and Optimization of a Quantum Polynomial-Time Attack on Elliptic Curve Cryptography,Dmitri Maslov,Donny Cheung;Dmitri Maslov;Jimson Mathew;Dhiraj K. Pradhan,,,,https://tqc.iaqi.org/2008/doc/program/maslov.pdf,,,,,source_type=claude_extraction,2008-02-01,11:40,30
TQC,2008,invited,Quantum wires and new models for measurement-based quantum computing,Jens Eisert,Jens Eisert,Imperial College; London,,,,,,,,source_type=claude_extraction,2008-02-01,13:55,50
TQC,2008,regular,Architecture of a Quantum Multicomputer,Rodney Van Meter,Rodney Van Meter;Bill Munro;Kae Nemoto,,,,https://tqc.iaqi.org/2008/doc/program/van-meter-qmc-tqc-final-no-photos.pdf,,,,,source_type=claude_extraction,2008-02-01,14:45,30
