venue,year,committee_type,position,full_name,affiliation,role_title
TQC,2016,steering,member,Wim van Dam,UCSB,
TQC,2016,steering,member,Aram Harrow,MIT,
TQC,2016,steering,member,Yasuhito Kawano,"NTT, Tokyo",
TQC,2016,steering,member,Michele Mosca,"IQC, Waterloo and Perimeter Institute",
TQC,2016,steering,member,Martin Roetteler,Microsoft Research,
TQC,2016,steering,member,Simone Severini,UCL,
TQC,2016,steering,member,Vlatko Vedral,"Oxford and CQT, Singapore",
TQC,2016,program,chair,Anne Broadbent,,
TQC,2016,program,member,Gorjan Alagic,,
TQC,2016,program,member,Gilles Brassard,,
TQC,2016,program,member,André Chailloux,,
TQC,2016,program,member,Giulio Chiribella,,
TQC,2016,program,member,Frédéric Dupuis,,
TQC,2016,program,member,Joseph Fitzsimons,,
TQC,2016,program,member,Steve Flammia,,
TQC,2016,program,member,Sevag Gharibian,,
TQC,2016,program,member,Stacey Jeffery,,
TQC,2016,program,member,Elham Kashefi,,
TQC,2016,program,member,Iordanis Kerenidis,,
TQC,2016,program,member,Xiongfeng Ma,,
TQC,2016,program,member,Laura Mančinska,,
TQC,2016,program,member,Carl Miller,,
TQC,2016,program,member,Mio Murao,,
TQC,2016,program,member,Marco Piani,,
TQC,2016,program,member,Christopher Portmann,,
TQC,2016,program,member,Robert Raussendorf,,
TQC,2016,program,member,Christian Schaffner,,
TQC,2016,program,member,Norbert Schuch,,
TQC,2016,program,member,Peter Selinger,,
TQC,2016,program,member,Jamie Sikora,,
TQC,2016,program,member,Barbara Terhal,,
TQC,2016,program,member,Mark Wilde,,
TQC,2016,organizing,chair,Jens Eisert,,
TQC,2016,organizing,co_chair,Oliver Buerschaper,,
TQC,2016,organizing,member,Juan Bermejo-Vega,,
TQC,2016,organizing,member,Dominik Hangleiter,,
TQC,2016,organizing,member,Albert Werner,,
TQC,2016,organizing,member,Carolin Wille,,
