venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
TQC,2020,regular,Exponential Quantum Communication Reductions from Generalizations of the Boolean Hidden Matching Problem,João F. Doriguello; Ashley Montanaro,João F. Doriguello; Ashley Montanaro,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol158-tqc2020/LIPIcs.TQC.2020.1/LIPIcs.TQC.2020.1.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2020.1; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2020-06-12,16:45,25
TQC,2020,regular,Improved Approximate Degree Bounds for k-Distinctness,Nikhil S. Mande; Justin Thaler; Shuchen Zhu,Nikhil S. Mande; Justin Thaler; Shuchen Zhu,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol158-tqc2020/LIPIcs.TQC.2020.2/LIPIcs.TQC.2020.2.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2020.2; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2020-06-11,18:55,25
TQC,2020,regular,Building Trust for Continuous Variable Quantum States,Ulysse Chabaud; Tom Douce; Frédéric Grosshans; Elham Kashefi; Damian Markham,Ulysse Chabaud; Tom Douce; Frédéric Grosshans; Elham Kashefi; Damian Markham,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol158-tqc2020/LIPIcs.TQC.2020.3/LIPIcs.TQC.2020.3.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2020.3; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2020-06-09,15:00,25
TQC,2020,regular,Uncloneable Quantum Encryption via Oracles,Anne Broadbent; Sébastien Lord,Anne Broadbent; Sébastien Lord,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol158-tqc2020/LIPIcs.TQC.2020.4/LIPIcs.TQC.2020.4.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2020.4; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2020-06-10,15:25,25
TQC,2020,regular,Quasirandom Quantum Channels,Tom Bannink; Jop Briët; Farrokh Labib; Hans Maassen,Tom Bannink; Jop Briët; Farrokh Labib; Hans Maassen,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol158-tqc2020/LIPIcs.TQC.2020.5/LIPIcs.TQC.2020.5.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2020.5; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2020-06-11,11:45,35
TQC,2020,regular,Towards Quantum One-Time Memories from Stateless Hardware,Anne Broadbent; Sevag Gharibian; Hong-Sheng Zhou,Anne Broadbent; Sevag Gharibian; Hong-Sheng Zhou,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol158-tqc2020/LIPIcs.TQC.2020.6/LIPIcs.TQC.2020.6.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2020.6; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2020-06-10,15:00,25
TQC,2020,regular,Beyond Product State Approximations for a Quantum Analogue of Max Cut,Anurag Anshu; David Gosset; Karen Morenz,Anurag Anshu; David Gosset; Karen Morenz,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol158-tqc2020/LIPIcs.TQC.2020.7/LIPIcs.TQC.2020.7.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2020.7; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2020-06-09,16:45,25
TQC,2020,regular,Simpler Proofs of Quantumness,Zvika Brakerski; Venkata Koppula; Umesh Vazirani; Thomas Vidick,Zvika Brakerski; Venkata Koppula; Umesh Vazirani; Thomas Vidick,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol158-tqc2020/LIPIcs.TQC.2020.8/LIPIcs.TQC.2020.8.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2020.8; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2020-06-10,18:55,25
TQC,2020,regular,Quantum Algorithms for Computational Geometry Problems,Andris Ambainis; Nikita Larka,Andris Ambainis; Nikita Larka,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol158-tqc2020/LIPIcs.TQC.2020.9/LIPIcs.TQC.2020.9.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2020.9; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2020-06-09,12:10,25
TQC,2020,regular,Quantum Coupon Collector,Srinivasan Arunachalam; Aleksandrs Belovs; Andrew M. Childs; Robin Kothari; Ansis Rosmanis; Ronald de Wolf,Srinivasan Arunachalam; Aleksandrs Belovs; Andrew M. Childs; Robin Kothari; Ansis Rosmanis; Ronald de Wolf,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol158-tqc2020/LIPIcs.TQC.2020.10/LIPIcs.TQC.2020.10.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2020.10; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2020-06-09,12:35,25
TQC,2020,regular,Fast and Effective Techniques for T-Count Reduction via Spider Nest Identities,Niel de Beaudrap; Xiaoning Bian; Quanlong Wang,Niel de Beaudrap; Xiaoning Bian; Quanlong Wang,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol158-tqc2020/LIPIcs.TQC.2020.11/LIPIcs.TQC.2020.11.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2020.11; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2020-06-09,18:55,25
TQC,2020,regular,A Device-Independent Protocol for XOR Oblivious Transfer,Srijita Kundu; Jamie Sikora; Ernest Y.-Z. Tan,Srijita Kundu; Jamie Sikora; Ernest Y.-Z. Tan,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol158-tqc2020/LIPIcs.TQC.2020.12/LIPIcs.TQC.2020.12.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2020.12; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2020-06-12,10:50,25
