venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
TQC,2021,poster,Adiabatic Spectroscopy and a Variational Quantum Adiabatic Algorithm,,Benjamin Schiffer;Jordi Tura Brugués;Ignacio Cirac,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Consequences of preserving reversibility in quantum superchannels,,Wataru Yokojima;Marco Túlio Quintino;Akihito Soeda;Mio Murao,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Necessary Criteria for Markovian Divisibility of Linear Maps,,Matthias C. Caro;Benedikt R. Graswald,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,The Power of One Clean Qubit in Communication Complexity,,Debbie Huey Chih Lim;Hartmut Klauck,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Uncomputably Complex Renormalisation Group Flows,,James Watson;Emilio Onorati;Toby Cubitt,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Approximate Bacon-Shor Code and Holography,,Chunjun Cao;Brad Lackey,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Solvable Criterion for the Contextuality of any Prepare-and-Measure Scenario,,Victor Gitton;Mischa Woods,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Variational Quantum Algorithms for Trace Distance and Fidelity Estimation,,Ranyiliu Chen;Zhixin Song;Xuanqiang Zhao;Xin Wang,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Lower bound the T-count via unitary stabilizer nullity,,Jiaqing Jiang;Xin Wang,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Measurement-device-independent entanglement detection for continuous-variable systems,,Paolo Abiuso;Stefan Baeuml;Daniel Cavalcanti;Antonio Acin,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Optimal noise estimation from syndrome statistics of quantum codes,,Thomas Wagner;Hermann Kampermann;Dagmar Bruß;Martin Kliesch,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Entangled subspaces and generic local state discrimination with pre-shared entanglement,,Benjamin Lovitz;Nathaniel Johnston,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Quantum Polarization of Qudit Channels,,Ashutosh Kumar Goswami;Mehdi Mhalla;Valentin Savin,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Universal Translationally Invariant Hamiltonians,,Stephen Piddock;Johannes Bausch,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Quantum Newton’s method for approximately solving system of nonlinear equations,,Cheng Xue;Yu-Chun Wu;Guo-Ping Guo,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Policies for elementary link generation in quantum networks,,Sumeet Khatri,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Physical Implementability of Quantum Maps and Its Application in Error Mitigation,,Jiaqing Jiang;Kun Wang;Xin Wang,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Analyzing the barren plateau phenomenon in training quantum neural networks with the ZX-calculus,,Chen Zhao;Xiao-Shan Gao,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Quantum scrambling with classical shadows,,Roy J. Garcia;You Zhou;Arthur Jaffe,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Computer-Inspired Concept for High-Dimensional Multipartite Quantum Gates,,Xiaoqin Gao,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Quantum Advantage with Shallow Circuits under Arbitrary Corruption,,Atsuya Hasegawa;François Le Gall,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Provable superior accuracy in machine learned quantum models,,Chengran Yang;Andrew Garner;Feiyang Liu;Man-Hong Yung;Nora Tischler;Jayne Thompson;Mile Gu;Oscar Dahlsten,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Numerical Implementation of Just-In-Time Decoding in Novel Lattice Slices Through the Three-Dimensional Surface Code,,Tom Scruby;Dan Browne;Paul Webster;Michael Vasmer,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Certifying the Classical Simulation Cost of a Quantum Channel,,Brian Doolittle;Eric Chitambar,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Asymptotic state transformations of continuous variable resources,,Giovanni Ferrari;Ludovico Lami;Thomas Theurer;Martin Plenio,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Quantum Capacity of a bosonic dephasing channel,,Amir Arqand;Laleh Memarzadeh;Stefano Mancini,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Bell nonlocality is not sufficient for the security of standard device-independent quantum key distribution protocols,,Máté Farkas;Maria Balanzó-Juandó;Karol Łukanowski;Jan Kołodyński;Antonio Acín,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
