venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
TQC,2022,invited,Robert Huang (Caltech): Quantum advantage in learning from experiments,Robert Huang,Robert Huang,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-11,09:00,45
TQC,2022,regular,Schaeffer (Waterloo): Sample-optimal classical shadows for pure states [Grier/Pashayan/Schaeffer],Luke Schaeffer,Luke Schaeffer,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-11,09:45,25
TQC,2022,regular,Beverland (Microsoft): Two-dimensional implementations of quantum LDPC codes [Beverland/Delfosse/Tremblay],Michael Beverland,Michael Beverland,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-11,11:00,25
TQC,2022,regular,Beverland (Microsoft): Improved quantum error correction using soft information [Pattison/Beverland/Silva/Delfosse],Michael Beverland,Michael Beverland,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-11,11:25,25
TQC,2022,regular,Roffe (Free U Berlin): Bias-tailored quantum LDPC codes [Roffe/Cohen/Chandra/Quintavalle/Campbell],Joschka Roffe,Joschka Roffe,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-11,11:50,25
TQC,2022,regular,Schoute (LANL): Surface code compilation via edge-disjoint paths [Beverland/Kliuchnikov/Schoute],Eddie Schoute,Eddie Schoute,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-11,12:15,25
TQC,2022,regular,Cade (QuSoft/UvA): Complexity of supersymmetric systems and the cohomology problem [Cade/Crichigno],Chris Cade,Chris Cade,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-11,14:10,25
TQC,2022,regular,Rudolph (Paderborn): On polynomially many queries to NP or QMA oracles [Rudolph/Gharibian],Dorian Rudolph,Dorian Rudolph,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-11,14:35,25
TQC,2022,regular,Cornelissen (QuSoft/UvA): Improved Quantum Query Upper Bounds Based on Classical Decision Trees [Cornelissen/Mande/Patro],Arjan Cornelissen,Arjan Cornelissen,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-11,15:00,25
TQC,2022,invited,Ananth (UCSB): Cryptographic Explorations of Pseudorandom Quantum States,Prabhanjan Ananth,Prabhanjan Ananth,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,09:00,45
TQC,2022,regular,"Bluhm (QMATH Copenhagen, VIRTUAL): Position-based cryptography: Single-qubit protocol secure against multi-qubit attacks [Bluhm/Christandl/Speelman]",Andreas Bluhm,Andreas Bluhm,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,09:45,25
TQC,2022,regular,Cree (Stanford): Code-routing: a new attack on position-verification [May/Cree],Sam Cree,Sam Cree,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,10:10,25
TQC,2022,regular,Apel (UCL): Holographic duality between local Hamiltonians from random tensor networks [Apel/Kohler/Cubitt],Harriet Apel,Harriet Apel,,,,,,,,,added from schedule (no matching CSV row); source_type=claude_extraction,2022-07-12,11:00,25
