"venue","year","paper_type","title","speakers","authors","affiliations","arxiv_ids","session_name","scheduled_date","scheduled_time","duration_minutes","presentation_url","video_url","youtube_id","award","notes","_entry_id","_entry_type","_url","_howpublished","abstract"
"TQC","2023","regular","Approximate degree lower bounds for oracle identification problems","Nadezhda Voronova","Mark Bun; Nadezhda Voronova","","2303.03921","","2023-07-28","09:00:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T1116","Conference","https://arxiv.org/abs/2303.03921 https://tqc-conference.org/wp-content/uploads/cfdb7_uploads/1688780878-poster-1116.pdf https://tqc-conference.org/wp-content/uploads/cfdb7_uploads/1688780878-video-1116.mp4","Talk and Proceedings","The approximate degree of a Boolean function is the minimum degree of real polynomial that approximates it pointwise. For any Boolean function, its approximate degree serves as a lower bound on its quantum query complexity, and generically lifts to a quantum communication lower bound for a related function. We introduce a framework for proving approximate degree lower bounds for certain oracle identification problems, where the goal is to recover a hidden binary string latex x ın 0, 1^n given possibly non-standard oracle access to it. Our lower bounds apply to decision versions of these problems, where the goal is to compute the parity of latex x. We apply our framework to the ordered search and hidden string problems, proving nearly tight approximate degree lower bounds of latex Ømega(n/łog^2 n) for each. These lower bounds generalize to the weakly unbounded error setting, giving a new quantum query lower bound for the hidden string problem in this regime. Our lower bounds are driven by randomized communication upper bounds for the greater-than and equality functions."
"TQC","2023","regular","On the Necessity of Collapsing for Post-Quantum and Quantum Commitments","Marcel Dall'Agnol","Marcel Dall'Agnol; Nicholas Spooner","","","","2023-07-26","16:10:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T2208","Conference","https://eprint.iacr.org/2022/786 https://tqc-conference.org/wp-content/uploads/cfdb7_uploads/1688327217-video-Talk.mp4","Talk and Proceedings","Collapse binding and collapsing were proposed as post-quantum strengthenings of computational binding and collision resistance, respectively. These notions have been very successful in facilitating the """"lifting"""" of classical security proofs to the quantum setting. A basic and natural question remains unanswered, however: are they the weakest notions that suffice for such lifting? In this work we answer this question in the affirmative by giving a classical commit-and-open protocol which is post-quantum secure if and only if the commitment scheme (resp. hash function) used is collapse binding (resp. collapsing). We also generalise the definition of collapse binding to quantum commitment schemes, and prove that the equivalence carries over when the sender in this commit-and-open protocol communicates quantum information. As a consequence, we establish that a variety of """"weak"""" binding notions (sum binding, CDMS binding and unequivocality) are in fact equivalent to collapse binding, both for post-quantum and quantum commitments. Finally, we prove a """"win-win"""" result, showing that a post-quantum computationally binding commitment scheme that is not collapse binding can be used to build an equivocal commitment scheme (which can, in turn, be used to build one-shot signatures and other useful quantum primitives)."
"TQC","2023","regular","Optimal algorithms for learning quantum phase states","Arkopal Dutt","Srinivasan Arunachalam; Sergey Bravyi; Arkopal Dutt; Theodore Yoder","","","","2023-07-26","15:40:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T2296","Conference","","Talk and Proceedings","Collapse binding and collapsing were proposed by Unruh (Eurocrypt ’16) as post-quantum strengthenings of computational binding and collision resistance, respectively. These notions have been very successful in facilitating the “lifting” of classical security proofs to the quantum setting. A basic and natural question remains unanswered, however: are they the weakest notions that suffice for such lifting? In this work we answer this question in the affirmative by giving a classical commit-and-open protocol which is post-quantum secure if and only if the commitment scheme (resp. hash function) used is collapse binding (resp. collapsing). We also generalise the definition of collapse binding to quantum commitment schemes, and prove that the equivalence carries over when the sender in this commit-and-open protocol communicates quantum information. As a consequence, we establish that a variety of “weak” binding notions (sum binding, CDMS binding and unequivocality) are in fact equivalent to collapse binding, both for post-quantum and quantum commitments. Finally, we prove a “win-win” result, showing that a post-quantum computationally binding commitment scheme that is not collapse binding can be used to build an equivocal commitment scheme (which can, in turn, be used to build one-shot signatures and other useful quantum primitives). This strengthens a result due to Zhandry (Eurocrypt ’19) showing that the same object yields quantum lightning."
"TQC","2023","regular","Computational Quantum Secret Sharing","Alper Cakan","Alper Cakan; Vipul Goyal; Chen-Da Liu-Zhang; Joao Ribeiro","","2305.00356","","2023-07-25","16:40:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T3870","Conference","https://arxiv.org/abs/2305.00356","Talk and Proceedings","Quantum secret sharing (QSS) allows a dealer to distribute a secret quantum state among a set of parties in such a way that certain authorized subsets can reconstruct the secret, while unauthorized subsets obtain no information about it. Previous works on QSS for general access structures focused solely on the existence of perfectly secure schemes, and the share size of the known schemes is necessarily exponential even in cases where the access structure is computed by polynomial size monotone circuits. This stands in stark contrast to the classical setting, where polynomial-time computationally-secure secret sharing schemes have been long known for all access structures computed by polynomial-size monotone circuits under standard hardness assumptions, and one can even obtain shares which are much shorter than the secret (which is impossible with perfect security). While QSS was introduced over twenty years ago, previous works only considered information-theoretic privacy. In this work, we initiate the study of computationally-secure QSS and show that computational assumptions help significantly in building QSS schemes, just as in the classical case. We present a simple compiler and use it to obtain a large variety results: We construct polynomial-time computationally-secure QSS schemes under standard hardness assumptions for a rich class of access structures. This includes many access structures for which previous results in QSS necessarily required exponential share size. In fact, we can go even further: We construct QSS schemes for which the size of the quantum shares is significantly smaller than the size of the secret. As in the classical setting, this is impossible with perfect security. We also apply our compiler to obtain results beyond computational QSS. In the information-theoretic setting, we improve the share size of perfect QSS schemes for a large class of n-party access structures to 1.5^n+o(n), improving upon best known schemes and matching the best known result for general access structures in the classical setting. Finally, among other things, we study the class of access structures which can be efficiently implemented when the quantum secret sharing scheme has access to a given number of copies of the secret, including all such functions in mathsfP and mathsfNP."
"TQC","2023","regular","Quantum Algorithm for Path-Edge Sampling","Shelby Kimmel","Stacey Jeffery; Shelby Kimmel; Alvaro Piedrafita","","","","2023-07-28","09:00:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T4248","Conference","","Talk and Proceedings","We present a quantum algorithm for sampling an edge on a path between two nodes s and t in a graph given as an adjacency matrix, and show that this can be done in query complexity that is asymptotically the same, up to log factors, as the query complexity of detecting a path between s and t. We use this path sampling algorithm as a subroutine for st-path finding and st-cut finding algorithms in some specific cases. Our main technical contribution is an algorithm for generating a quantum state that is proportional to the positive witness vector of a span program."
"TQC","2023","regular","Improved Approximations for Extremal Eigenvalues of Sparse Hamiltonians","Daniel Hothem","Daniel Hothem; Ojas Parekh; Kevin Thompson","","","","2023-07-27","15:40:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T4534","Conference","","Talk and Proceedings","We give a classical 1/(qk+1)-approximation for the maximum eigenvalue of a k-sparse fermionic Hamiltonian with strictly q-local terms, as well as a 1/(4k+1)-approximation when the Hamiltonian has both 2-local and 4-local terms. More generally, we obtain a 1/O(q*k^2)-approximation for k-sparse fermionic Hamiltonians with terms of locality at most q. Our techniques also yield analogous constant-factor approximations for k-sparse, q-local spin Hamiltonians with small hidden constants and improved dependence on q."
"TQC","2023","regular","Improved Algorithm and Lower Bound for Variable Time Quantum Search","Martins Kokainis","Andris Ambainis; Martins Kokainis; Jevgēnijs Vihrovs","","2302.06749","","2023-07-28","09:30:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T5883","Conference","https://arxiv.org/abs/2302.06749 https://tqc-conference.org/wp-content/uploads/cfdb7_uploads/1688131797-video-video.mp4","Talk and Proceedings","We study variable time search, a form of quantum search where queries to different items take different time. Our first result is a new quantum algorithm that performs variable time search with complexity O(sqrtTłog n) where T=sum_i=1^n t_i^2 with t_i denoting the time to check the i^rm th item. Our second result is a quantum lower bound of Ømega(sqrtTłog T). Both the algorithm and the lower bound improve over previously known results by a factor of sqrtłog T but the algorithm is also substantially simpler than the previously known quantum algorithms."
"TQC","2023","regular","Fully device-independent quantum key distribution using synchronous correlations","Nishant Rodrigues","Nishant Rodrigues; Brad Lackey","","2110.14530","","2023-07-26","15:10:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T6220","Conference","https://arxiv.org/abs/2110.14530","Talk and Proceedings","We derive a device-independent quantum key distribution protocol based on synchronous correlations and their Bell inequalities. This protocol offers several advantages over other device-independent schemes including symmetry between the two users and no need for pre-shared randomness. We close a ``synchronicity'' loophole by showing that an almost synchronous correlation inherits the self-testing property of the associated synchronous correlation. We also pose a new security assumption that closes the ``locality'' (or ``causality'') loophole: an unbounded adversary with even a small uncertainty about the users' choice of measurement bases cannot produce any almost synchronous correlation that approximately maximally violates a synchronous Bell inequality."
"TQC","2023","regular","Rewindable Quantum Computation and Its Equivalence to Cloning and Adaptive Postselection","Yuki Takeuchi","Ryo Hiromasa; Akihiro Mizutani; Yuki Takeuchi; Seiichiro Tani","","2206.05434","","2023-07-27","11:00:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T6430","Conference","https://arxiv.org/abs/2206.05434","Talk and Proceedings","We define rewinding operators that invert quantum measurements. Then, we define complexity classes latex sf RwBQP, latex sf CBQP, and latex sf AdPostBQP as sets of decision problems solvable by polynomial-size quantum circuits with a polynomial number of rewinding operators, cloning operators, and adaptive postselections, respectively. Our main result is that latex sf BPP^sf PP subseteq sf RwBQP = sf CBQP = sf AdPostBQP subseteq sf PSPACE. As a byproduct of this result, we show that any problem in latex sf PostBQP can be solved with only postselections of outputs whose probabilities are polynomially close to one. Under the strongly believed assumption that latex sf BQP nsupseteq sf SZK, or the shortest independent vectors problem cannot be efficiently solved with quantum computers, we also show that a single rewinding operator is sufficient to achieve tasks that are intractable for quantum computation. In addition, we consider rewindable Clifford and instantaneous quantum polynomial time circuits."
"TQC","2023","regular","Quantum Mass Production Theorems","William Kretschmer","William Kretschmer","","2212.14399","","2023-07-26","11:00:00","30","","","","","BibTeX entry type: Conference (proceedings track - published in LIPIcs)","T6465","Conference","https://arxiv.org/abs/2212.14399","Talk and Proceedings","We prove that for any n-qubit unitary transformation U and for any r = 2^o(n / łog n), there exists a quantum circuit to implement U^øtimes r with at most O(4^n) gates. This asymptotically equals the number of gates needed to implement just a single copy of a worst-case U. We also establish analogous results for quantum states and diagonal unitary transformations. Our techniques are based on the work of Uhlig [Math. Notes 1974], who proved a similar mass production theorem for Boolean functions."
