venue,year,committee_type,position,full_name,affiliation,notes
QCRYPT,2012,program,member,Michael Ben-Or,Hebrew University,
QCRYPT,2012,program,member,Serge Fehr,CWI Amsterdam,
QCRYPT,2012,program,chair,Patrick Hayden,chair,
QCRYPT,2012,program,member,Thomas Jennewein,IQC Waterloo,
QCRYPT,2012,program,member,Robert Koenig,IBM Research,
QCRYPT,2012,program,member,Christian Kurtsiefer,CQT Singapore,
QCRYPT,2012,program,member,Norbert Lütkenhaus,IQC Waterloo,
QCRYPT,2012,program,member,Stefano Pironio,Université Libre de Bruxelles,
QCRYPT,2012,program,member,Thomas Vidick,MIT,
QCRYPT,2012,program,member,Hugo Zbinden,University of Geneva,
QCRYPT,2012,steering,member,Matthias Christandl,ETH Zurich,
QCRYPT,2012,steering,member,Roger Colbeck,Perimeter Institute,
QCRYPT,2012,steering,member,Michele Mosca,IQC Waterloo,
QCRYPT,2012,steering,member,Renato Renner,ETH Zurich,
QCRYPT,2012,steering,member,Louis Salvail,University of Montreal,
QCRYPT,2012,steering,member,Wolfgang Tittel,University of Calgary,
QCRYPT,2012,steering,chair,Stephanie Wehner,chair,
QCRYPT,2012,steering,member,Charles H. Bennett,IBM Research,
QCRYPT,2012,steering,member,Gilles Brassard,University of Montreal,
QCRYPT,2012,steering,member,Ivan Damgård,University of Aarhus,
QCRYPT,2012,steering,member,Artur Ekert,CQT Singapore / U. of Oxford,
QCRYPT,2012,steering,member,Nicolas Gisin,Geneva University,
QCRYPT,2012,steering,member,Richard Hughes,Los Alamos,
QCRYPT,2012,steering,member,Masahide Sasaki,NICT,
QCRYPT,2012,local_organizing,member,Patrick Coles,,
QCRYPT,2012,local_organizing,member,Esther Hänggi,,
QCRYPT,2012,local_organizing,member,Jed Kaniewski,,
QCRYPT,2012,local_organizing,member,Matthew McKague,,
QCRYPT,2012,local_organizing,member,Loïck Magnin,,
QCRYPT,2012,local_organizing,member,Nelly Ng Huei Ying,,
QCRYPT,2012,local_organizing,member,Corsin Pfister,,
QCRYPT,2012,local_organizing,member,Valerio Scarani,,
QCRYPT,2012,local_organizing,member,Evon Tan,,
QCRYPT,2012,local_organizing,member,Marco Tomamichel,,
QCRYPT,2012,local_organizing,chair,Stephanie Wehner,,
