venue,year,committee_type,position,full_name,affiliation,role_title,,
QIP,2007,program,member,Andrew Doherty,,,,
QIP,2007,program,member,Michael Nielsen,,,,
QIP,2007,program,member,Andreas Winter,,,,
QIP,2007,program,member,Scott Aaronson,,,,
QIP,2007,program,member,Dorit Aharonov,,,,
QIP,2007,program,member,Claude Crepeau,,,,
QIP,2007,program,member,Ronald de Wolf,,,,
QIP,2007,steering,member,Charles Bennett,,,,
QIP,2007,steering,member, Daniel Gottesman,,,,
QIP,2007,steering,member, Keiji Matsumoto,,,,
QIP,2007,steering,member, Michael Nielsen,,,,
QIP,2007,steering,member,John Preskill,,,,
QIP,2007,steering,member, Jaikumar Radhakrishnan,,,,
QIP,2007,steering,member, Miklos Santha,,,,
QIP,2007,steering,member, Peter Shor,,,,
QIP,2007,steering,member, Umesh Vazirani,,,,
