venue,year,committee_type,position,full_name,affiliation,role_title
QIP,2010,program,member,Scott Aaronson,MIT,
QIP,2010,program,member,David Bacon,University of Washington,
QIP,2010,program,chair,Michael Ben-Or,Hebrew University of Jerusalem,
QIP,2010,program,member,Matthias Christandl, LMU Munich,
QIP,2010,program,member,David P. DiVincenzo,IBM Watson,
QIP,2010,program,member,Andrew Doherty,University of Queensland,
QIP,2010,program,member,Aram W. Harrow,University of Bristol,
QIP,2010,program,member,Julia Kempe,Tel-Aviv University,
QIP,2010,program,member,Iordanis Kerenidis,University of Paris,
QIP,2010,program,member,Masato Koashi, Osaka University,
QIP,2010,program,member,Norbert Lütkenhaus,University of Waterloo,
QIP,2010,program,member,Jonathan Oppenheim,University of Cambridge,
QIP,2010,program,member,Tobias J. Osborne,Royal Holloway University of London,
QIP,2010,program,member,John Preskill,Caltech,
QIP,2010,program,member,Stephanie Wehner,Caltech,
QIP,2010,steering,member,Dorit Aharonov,Hebrew University of Jerusalem,
QIP,2010,steering,member,Andrew Chi-Chih Yao,Tsinghua University,
QIP,2010,steering,member,Eddie Farhi,MIT,
QIP,2010,steering,member,Cris Moore,"University of New Mexico, Santa Fe Institute",
QIP,2010,steering,chair,Renato Renner,ETH Zurich,
QIP,2010,steering,member,Barbara M. Terhal,IBM Watson,
QIP,2010,steering,member,John Watrous,University of Waterloo,
QIP,2010,steering,member,Andreas Winter,"University of Bristol, National University of Singapore",
QIP,2010,steering,member,Ronald de Wolf,"CWI, Amsterdam",
QIP,2010,local_organizing,member,Johan Åberg ,ETH Zurich,tutorial programme
QIP,2010,local_organizing,member,Ilona Blatter,ETH Zurich,webmaster
QIP,2010,local_organizing,member,Roger Colbeck,ETH Zurich,poster session
QIP,2010,local_organizing,member,Oscar Dahlsten,ETH Zurich,publicity
QIP,2010,local_organizing,member,Matthias Fitzi,ETH Zurich,rump session
QIP,2010,local_organizing,member,Lidia del Rio,ETH Zurich,poster session
QIP,2010,local_organizing,member,Stefan Wolf,ETH Zurich,local arrangements
QIP,2010,local_organizing,chair,Renato Renner,ETH Zurich,
