venue,year,committee_type,position,full_name,affiliations,,,,
QIP,2022,steering,member, Elizabeth Crosson,University of New Mexico,,,,
QIP,2022,steering,member, Omar Fawzi,"Inria, ENS Lyon",,,,
QIP,2022,steering,member, Steve Flammia,AWS Center for Quantum Computing,,,,
QIP,2022,steering,member, Min-Hsiu Hsieh,Hon Hai (Foxconn) Quantum Computing Research Center,,,,
QIP,2022,steering,member, Robert König,Technical University of Munich,,,,
QIP,2022,steering,member, Barbara Kraus,"Institute for Theoretical Physics, University of Innsbruck",,,,
QIP,2022,steering,member, Troy Lee,University of Technology Sydney,,,,
QIP,2022,steering,member, Laura Mančinska,University of Copenhagen,,,,
QIP,2022,steering,member, John Smolin,IBM Research,,,,
QIP,2022,steering,chair, Thomas Vidick,California Institute of Technology,,,,
QIP,2022,program,member,Aleksander Kubica,AWS Center for Quantum Computing & Caltech,,,,
QIP,2022,program,member,Alex Grilo,CNRS / Sorbonne Université,,,,
QIP,2022,program,member,András Gilyén,Caltech & Rényi Institute for Mathematics in Budapest,,,,
QIP,2022,program,member,Andrea Coladangelo,"University of California, Berkeley",,,,
QIP,2022,program,member,Andreas Winter,Universitat Autónoma de Barcelona,,,,
QIP,2022,program,member,Andrew Childs,University of Maryland,,,,
QIP,2022,program,member,Ángela Capel,Technical University of Munich,,,,
QIP,2022,program,member,Antonio Acín,ICFO,,,,
QIP,2022,program,member,Aram Harrow,MIT,,,,
QIP,2022,program,member,Ashley Montanaro,Phasecraft & University of Bristol,,,,
QIP,2022,program,member,Barbara Terhal,Delft University of Technology,,,,
QIP,2022,program,member,Bei Zeng,Hong Kong University of Science and Technology,,,,
QIP,2022,program,member,Ben Brown,University of Sydney,,,,
QIP,2022,program,member,Bill Fefferman,University of Chicago,,,,
QIP,2022,program,member,Cécilia Lancien,CNRS / Université Paul Sabatier,,,,
QIP,2022,program,member,Christian Schaffner,University of Amsterdam & QuSoft,,,,
QIP,2022,program,member,Daniel Gottesman,University of Maryland,,,,
QIP,2022,program,member,David Gosset,University of Waterloo,,,,
QIP,2022,program,chair,David Pérez-García,Universidad Complutense de Madrid,,,,
QIP,2022,program,member,David Sutter,IBM Research,,,,
QIP,2022,program,member,Eric Chitambar,University of Illinois at Urbana-Champaign,,,,
QIP,2022,program,member,Ewin Tang,University of Washington,,,,
QIP,2022,program,member,Flaminia Giacomini,Perimeter Institute,,,,
QIP,2022,program,member,François Le Gall,Nagoya University,,,,
QIP,2022,program,member,Giulio Chiribella,"QICI, The University of Hong Kong",,,,
QIP,2022,program,member,Gorjan Alagic,University of Maryland,,,,
QIP,2022,program,member,Isaac Kim,"University of California, Davis",,,,
QIP,2022,program,member,Jeongwan Haah,Microsoft Research,,,,
QIP,2022,program,member,Joseph M. Renes,ETH Zurich,,,,
QIP,2022,program,member,Johannes Bausch,University of Cambridge,,,,
QIP,2022,program,member,Keisuke Fujii,Osaka University,,,,
QIP,2022,program,member,Kristan Temme,IBM Research,,,,
QIP,2022,program,member,Lídia del Rio,ETH Zurich,,,,
QIP,2022,program,member,Lluis Masanes,UCL,,,,
QIP,2022,program,member,Marco Tomamichel,National University of Singapore,,,,
QIP,2022,program,member,Mária Kieferová,University of Technology Sydney,,,,
QIP,2022,program,member,Mario Berta,AWS Center for Quantum Computing,,,,
QIP,2022,program,member,Māris Ozols,University of Amsterdam & QuSoft,,,,
QIP,2022,program,member,Matthew Hastings,Microsoft Research,,,,
QIP,2022,program,member,Matthias Christandl,University of Copenhagen,,,,
QIP,2022,program,member,Michael Wolf,Technical University of Munich,,,,
QIP,2022,program,member,Nai-Hui Chia,University of Maryland & Indiana University Bloomington,,,,
QIP,2022,program,member,Norbert Schuch,University of Vienna,,,,
QIP,2022,program,member,Rafael Chaves,Federal University of Rio Grande do Norte,,,,
QIP,2022,program,member,Rahul Jain,National University of Singapore,,,,
QIP,2022,program,member,Rajat Mittal,Indian Institute of Technology Kanpur,,,,
QIP,2022,program,member,Raúl García-Patrón,University of Edinburgh,,,,
QIP,2022,program,member,Robert Raussendorf,University of British Columbia,,,,
QIP,2022,program,member,Robin Kothari,Microsoft Research,,,,
QIP,2022,program,member,Rotem Arnon-Friedman,Weizmann Institute of Science,,,,
QIP,2022,program,member,Salman Beigi,Institute for Research in Fundamental Sciences,,,,
QIP,2022,program,member,Scott Aaronson,University of Texas at Austin,,,,
QIP,2022,program,member,Shelby Kimmel,Middlebury College,,,,
QIP,2022,program,chair,Stacey Jeffery,CWI & QuSoft,,,,
QIP,2022,program,member,Stephen Bartlett,University of Sydney,,,,
QIP,2022,program,member,Toby Cubitt,Phasecraft & UCL,,,,
QIP,2022,program,member,Tomoyuki Morimae,Kyoto University,,,,
QIP,2022,program,member,Yelena Guryanova,IQOQI Vienna,,,,
QIP,2022,program,member,Yfke Dulek,CWI & QuSoft,,,,
QIP,2022,program,member,Zhengfeng Ji,University of Technology Sydney,,,,
QIP,2022,local_organizing,chair,Thomas Vidick,California Institute of Technology,,,,
