venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QCRYPT,2013,invited,The physics of cryptography,Renato Renner,Renato Renner,,,,,http://www.youtube.com/watch?v=PJo8SzeG9kw&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,PJo8SzeG9kw,,,,2013-08-05,09:30,
QCRYPT,2013,tutorial,What theorists should know when working with experimentalists (part 1),Marcos Curty,Marcos Curty,,,,../contributions/Curty-slides.pdf,http://www.youtube.com/watch?v=vFBSHBcLmGk&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,vFBSHBcLmGk,,,,2013-08-05,10:20,
QCRYPT,2013,tutorial,What theorists should know when working with experimentalists (part 2),Marcos Curty,Marcos Curty,,,,,,,,,,2013-08-05,11:30,
QCRYPT,2013,regular,Performing private database queries in a real-world environment using a quantum protocol,Philip Chan,Philip Chan;Itzel Lucio-Martinez;Xiaofan Mo;Christoph Simon;Wolfgang Tittel,,,1303.0865,../contributions/Chan-abstract.pdf,http://www.youtube.com/watch?v=CfTulV4PciM&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,CfTulV4PciM,,,,2013-08-05,12:15,
QCRYPT,2013,invited,Satellite-based quantum communications,Jane Nordholt,Jane Nordholt,,,,,http://www.youtube.com/watch?v=x41N6vVcB48&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,x41N6vVcB48,,,,2013-08-05,13:40,
QCRYPT,2013,regular,Free-space quantum network with trusted relay,Zhu Cao,Wei-Yue Liu;Hai-Lin Yong;Zhu Cao;Ji-Gang Ren;Xiongfeng Ma;Cheng-Zhi Peng;Jian-Wei Pan,,,,../contributions/Liu-abstract.pdf,http://www.youtube.com/watch?v=XhtfSWeyeqs&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,XhtfSWeyeqs,,,,2013-08-05,14:30,
QCRYPT,2013,regular,A wideband balanced homodyne detector for high speed continuous variable quantum key distribution systems,Duan Huang,Duan Huang;Jian Fang;Chao Wang;Guangqiang He;Peng Huang;Ronghuan Yang;Guihua Zeng,,,,../contributions/Huang-abstract.pdf,http://www.youtube.com/watch?v=20Wo0so_jK0&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,20Wo0so_jK0,,,,2013-08-05,14:55,
QCRYPT,2013,regular,Experimental demonstration of the coexistence of continuous-variable quantum key distribution with an intense DWDM classical channel,Rupesh Kumar,Paul Jouguet;Sébastien Kunz-Jacques;Rupesh Kumar;Hao Qin;Renaud Gabet;Eleni Diamanti;Romain Alléaume,,,,../contributions/Jouguet-abstract.pdf,http://www.youtube.com/watch?v=sAqpraaBlZs&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,sAqpraaBlZs,,,,2013-08-05,15:50,
QCRYPT,2013,regular,Realization of finite-size continuous-variable quantum key distribution based on Einstein-Podolsky-Rosen entanglement,Tobias Eberle,Tobias Eberle;Vitus Händchen;Fabian Furrer;Torsten Franz;Jörg Duhme;Reinhard F. Werner;Roman Schnabel,,,,../contributions/Eberle-abstract.pdf,http://www.youtube.com/watch?v=s2zMUqxFcic&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,s2zMUqxFcic,,,,2013-08-05,16:15,
QCRYPT,2013,regular,Saturation attack on continuous-variable quantum key distribution system,Hao Qin,Hao Qin;Rupesh Kumar;Romain Alléaume,,,,../contributions/Qin-abstract.pdf,http://www.youtube.com/watch?v=kSjvVfDJJXs&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,kSjvVfDJJXs,,,,2013-08-05,16:40,
QCRYPT,2013,regular,Tour of Institute for Quantum Computing ’s labs,,was attended by about 75 people;far exceeding organizer’s expectations :) Venue: Research advancement centre (RAC);University of Waterloo The tour included: • Superconducting quantum devices lab (PI: Adrian Lupascu): superconducting systems;hybrid solid-state devices for quantum information processing;quantum optics;metrology. • Quantum photonics lab (PI: Thomas Jennewein): devices suitable for communication;computing with photons;ultra-long quantum communication links using terrestrial;satellite-based systems. • CoryLab (PI: David Cory): spin-based hybrid quantum sensors;other devices – from ultra-sensitive magnetometers to full-scale quantum information processors,,,,,,,,,,2013-08-05,17:30,
QCRYPT,2013,invited,Research and development of the Tokyo QKD network project,Kiyoshi Tamaki,Kiyoshi Tamaki,,,,../contributions/Tamaki-slides.pdf,http://www.youtube.com/watch?v=lYghEoOgABk&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,lYghEoOgABk,,,,2013-08-06,09:00,
QCRYPT,2013,tutorial,Extractors against classical and quantum adversaries (part 1),Amnon Ta-Shma,Amnon Ta-Shma,,,,../contributions/Ta-Shma-slides.pptx,http://www.youtube.com/watch?v=ICYpNq70Gdk&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,ICYpNq70Gdk,,,,2013-08-06,09:50,
QCRYPT,2013,tutorial,Extractors against classical and quantum adversaries (part 2),Amnon Ta-Shma,Amnon Ta-Shma,,,,,,,,,,2013-08-06,11:00,
QCRYPT,2013,regular,Building one-time memories from isolated qubits,Yi-Kai Liu,Yi-Kai Liu,,,,../contributions/Liu2-abstract.pdf,http://www.youtube.com/watch?v=Bd9aKDQS450&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,Bd9aKDQS450,,,,2013-08-06,11:45,
QCRYPT,2013,regular,Achieving the limits of the noisy-storage model using entanglement sampling,Frédéric Dupuis,Frédéric Dupuis;Omar Fawzi;Stephanie Wehner,,,,../contributions/Dupuis-slides.pdf,http://www.youtube.com/watch?v=RFQypGVdS38&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,RFQypGVdS38,,,,2013-08-06,12:10,
QCRYPT,2013,invited,Unforgeable tokens: what we can do with imperfect qubit memories,Fernando Pastawski,Fernando Pastawski,,,,,http://www.youtube.com/watch?v=_R0cHOv4n2c&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,_R0cHOv4n2c,,,,2013-08-06,13:40,
QCRYPT,2013,regular,An experimental implementation of oblivious transfer in the noisy storage model,Chris Erven,Chris Erven;Stephanie Wehner;Nick Gigov;Raymond Laflamme;Gregor Weihs,,,,,http://www.youtube.com/watch?v=HXfYt9tXxbc&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,HXfYt9tXxbc,,,,2013-08-06,14:30,
QCRYPT,2013,regular,High bit rate quantum key distribution with quantified security,Marco Lucamarini,Marco Lucamarini;Ketaki Patel;James F. Dynes;Bernd Fröhlich;Andrew W. Sharpe;Zhiliang L. Yuan;Richard V. Penty;Andrew J. Shields No permission to videotape,,,,,,,,,,2013-08-06,14:55,
QCRYPT,2013,regular,Poster session . Posters also stay on display for the duration of the conference.,,,,,,,,,,,,2013-08-06,15:50,
