venue,year,paper_type,title,speaker,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2012,plenary,Topological qubits: stability against thermal noise,Sergey Bravyi,Sergey Bravyi,,,,,,,,,2011-12-12,09:15,55
QIP,2012,invited,Advances in classical communication for network quantum information theory,Mark Wilde,Omar Fawzi;Patrick Hayden;Ivan Savov;Pranab Sen;Mark Wilde,,,,,http://www.iro.umontreal.ca/~qip2012/videos/Talks/Monday/QIP2012-Monday-wilde.m4v,,,,2011-12-12,10:10,30
QIP,2012,regular,"Quantum rate distortion, reverse Shannon theorems, and source-channel separation",Nilanjana Datta,Nilanjana Datta;Min-Hsiu Hsieh;Mark Wilde,,,1108.4940,,http://www.iro.umontreal.ca/~qip2012/videos/Talks/Monday/QIP2012-Monday-datta.m4v,,,,2011-12-12,11:05,25
QIP,2012,regular,Quantum communication with gaussian channels of zero quantum capacity,Jon Yard,Graeme Smith;John A. Smolin;Jon Yard,,,,,http://www.iro.umontreal.ca/~qip2012/videos/Talks/Monday/QIP2012-Monday-yard.m4v,,,,2011-12-12,11:30,25
QIP,2012,regular,"Bounds on the distance between a unital quantum channel and the convex hull of unitary channels,
		with applications to the asymptotic quantum Birkhoff conjecture",Runyao Duan,Nengkun Yu;Runyao Duan;Quanhua Xu,,,1201.1172,,,,,,2011-12-12,11:55,25
QIP,2012,plenary,Quantum Magnetism with Ultracold Atoms - A Microscopic View of Artificial Quantum Matter,Markus Greiner,Markus Greiner,,,,,http://www.iro.umontreal.ca/~qip2012/videos/Talks/Monday/QIP2012-Monday-greiner.m4v,,,,2011-12-12,14:00,55
QIP,2012,invited,Optimal Bounds for Quantum Bit Commitment,André Chailloux,André Chailloux;Iordanis Kerenidis,,,1102.1678,,,,,,2011-12-12,14:55,30
QIP,2012,invited,Merkle Puzzles in a Quantum World,Gilles Brassard,Gilles Brassard;Peter Høyer;Kassem Kalach;Marc Kaplan;Sophie Laplante;Louis Salvail,,,,,,,,,2011-12-12,15:50,30
QIP,2012,regular,"Simplified instantaneous non-local quantum computation with applications to
		position-based cryptography",Salman Beigi,Salman Beigi;Robert Koenig,,,1101.1065,,http://www.iro.umontreal.ca/~qip2012/videos/Talks/Monday/QIP2012-Monday-beigi.m4v,,,,2011-12-12,16:25,25
QIP,2012,regular,The Garden-Hose Game and Application to Position-Based Quantum Cryptography,Florian Speelman,Harry Buhrman;Serge Fehr;Christian Schaffner;Florian Speelman,,,,,,,,,2011-12-12,16:50,25
QIP,2012,plenary,An improved area law for 1D frustration-free systems,Itai Arad,Itai Arad;Zeph Landau;Umesh Vazirani,,,,,http://www.iro.umontreal.ca/~qip2012/videos/Talks/Tuesday/QIP2012-Tuesday-arad.m4v,,,,2011-12-13,09:00,55
QIP,2012,regular,Stability of Frustration-Free Hamiltonians,Spyridon Michalakis,Spyridon Michalakis;Justyna Pytel,,,,,http://www.iro.umontreal.ca/~qip2012/videos/Talks/Tuesday/QIP2012-Tuesday-michalakis.m4v,,,,2011-12-13,09:55,25
QIP,2012,regular,Three Proofs of a Constructive Commuting Quantum Lovasz Local Lemma,Toby Cubitt,Toby Cubitt;Martin Schwarz;Frank Verstraete;Or Sattath;Itai Arad,,,,,,,,,2011-12-13,10:40,25
