venue,year,paper_type,title,authors,arxiv_ids,speaker,scheduled_date,scheduled_time,duration_minutes,session_name
QIP,2026,regular,Uncloneable Encryption from Decoupling,Archishna Bhattacharyya;Eric Culf,2503.19125,Archishna Bhattacharyya,28 January,13:00,20,
QIP,2026,regular,A Quantum Approach For Reducing Communications in Classical Secure Computations with Long Outputs,Jiayu Zhang,2310.05213,Jiayu Zhang,27 January,15:00,20,
QIP,2026,regular,Fault Tolerance by Construction,Benjamin Rodatz;Boldizsár Poór;Maximilian Rüsch;Aleks Kissinger,2506.17181,Benjamin Rodatz,30 January,15:00,20,
QIP,2026,regular,Parallel Repetition for Post-Quantum Arguments,Andrew Huang;Yael Tauman Kalai,2506.02277,Andrew Huang,29 January,15:00,20,
QIP,2026,regular,Quantum circuit lower bounds in the magic hierarchy,Natalie Parham,2504.19966,Natalie Parham,28 January,13:30,20,
QIP,2026,plenary_short,Few Single-Qubit Measurements Suffice to Certify Any Quantum State,Meghal Gupta;William He;Ryan O'Donnell,2506.11355,William He,28 January,10:00,30,
QIP,2026,regular,Unified Framework for Quantum Code Embedding,Andrew C. Yuan,2507.05361,Andrew C. Yuan,26 January,16:30,20,
QIP,2026,regular,High-Temperature Fermionic Gibbs States are Mixtures of Gaussian States,Akshar Ramkumar;Yiyi Cai;Yu Tong;Jiaqing Jiang,2505.09730,Akshar Ramkumar,27 January,13:00,20,
QIP,2026,regular,On the Cryptographic Foundations of Interactive Quantum Advantage,Kabir Tomer;Mark Zhandry,,Kabir Tomer,27 January,16:30,20,
QIP,2026,regular,Catalytic z-rotations in constant T-depth,Isaac Kim,2506.15147,Isaac Kim,28 January,14:00,20,
QIP,2026,regular,Causal decompositions of 1D quantum cellular automata,Augustin Vanrietvelde;Octave Mestoudjian;Pablo Arrighi,2506.22219,Augustin Vanrietvelde,26 January,13:30,20,
QIP,2026,regular,Fourier Spectrum of Noisy Quantum Algorithms,Uma Girish,,Uma Girish,26 January,14:00,20,
QIP,2026,regular,Efficient and simple Gibbs sampling state preparation of the 2D toric code via duality to classical Ising chains,Pablo Páez Velasco;Niclas Schilling;Samuel O. Scalet;Frank Verstraete;Ángela Capel,2508.00126,Pablo P´aez Velasco,26 January,15:30,20,
QIP,2026,regular,Random Unitaries in Constant (Quantum) Time,Benjamin Foxman;Natalie Parham;Francisca Vasconcelos;Henry Yuen,2508.11487,Benjamin Foxman,26 January,13:30,20,
QIP,2026,regular,Can effective descriptions of bosonic systems be considered complete?,Francesco Arzani;Robert Booth;Ulysse Chabaud,2501.13857,Ulysse Chabaud,27 January,13:00,20,
QIP,2026,regular,Tile codes,Vincent Steffan;Shin Ho Choe;Nikolas P. Breuckmann;Francisco Revson Fernandes Pereira;Jens Niklas Eberhardt;Zijian Liang;Yu-An Chen,"2504.09171,2504.08887",,,,,
QIP,2026,regular,Unfolded distillation: very low-cost magic state preparation for biased-noise qubits,Diego Ruiz;Jérémie Guillaud;Christophe Vuillot;Mazyar Mirrahimi,2507.12511,Diego Ruiz,27 January,15:00,20,
QIP,2026,regular,Obfuscation of Unitary Quantum Programs,Miryam Mi-Ying Huang;Er-Cheng Tang,2507.11970,Miryam Mi-Ying Huang,29 January,16:30,20,
QIP,2026,plenary_short,A Constant Rate Quantum Computer on a Line,Craig Gidney;Thiago Bergamaschi,2502.16132,Thiago Bergamaschi,26 January,11:00,30,
QIP,2026,regular,Optimal quantum simulation of linear non-unitary dynamics,Guang Hao Low;Rolando D. Somma,2508.19238,Guang Hao Low,27 January,15:00,20,
QIP,2026,regular,Quantum Lifting for Invertible Permutations and Ideal Ciphers,Alexandru Cojocaru;Minki Hhan;Qipeng Liu;Takashi Yamakawa;Aaram Yun,2504.18188,Alexandru Cojocaru,29 January,16:00,20,Merged slot
QIP,2026,regular,Quantitative Quantum Soundness for Bipartite Compiled Bell Games via the Sequential NPA Hierarchy,Xiangling Xu;Igor Klep;Connor Paddock;Marc-Olivier Renou;Simon Schmidt;Lucas Tendick;Yuming Zhao,2507.17006,Xiangling Xu,27 January,13:30,20,Merged slot
QIP,2026,plenary_long,Group Order is in QCMA,François Le Gall;Harumichi Nishimura;Dhara Thakkar,2504.05547,Harumichi Nishimura,27 January,09:00,60,
QIP,2026,regular,Universal quantum computing in two dimensions without getting tied in knots,Julio Magdalena de la Fuente;Margarita Davydova;Andreas Bauer;Mark Webster;Dominic Williamson;Benjamin Brown,"2503.15751,2505.05175",Julio Magdalena de la Fuente,30 January,15:30,20,
QIP,2026,regular,Complexity of mixed Schatten norms of quantum maps,Jan Kochanowski;Omar Fawzi;Cambyse Rouzé,2507.08358,Jan Kochanowski,26 January,14:30,20,Merged slot
