venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,speaker,scheduled_date,scheduled_time,duration_minutes
QIP,2026,contributed,Uncloneable Encryption from Decoupling,,Archishna Bhattacharyya;Eric Culf,University of Ottawa;University of Waterloo,"We show for the first time that uncloneable encryption exists with no computational assumptions, with security inverse-polynomial in the security parameter. We use properties of a monogamy-of-entanglement game associated with the Haar measure encryption to guarantee that any state that succeeds with high probability cannot be close to maximally-entangled between the referee and either of the players, whence we can apply the decoupling principle to show that either player becomes completely uncorrelated, and therefore cannot win significantly better than random guessing.",2503.19125,,,,,,Accepted,Archishna Bhattacharyya,28 January,13:00,30
QIP,2026,contributed,A Quantum Approach For Reducing Communications in Classical Secure Computations with Long Outputs,,Jiayu Zhang,Zhongguancun Laboratory,"How could quantum cryptography help us achieve what are not achievable in classical cryptography? In this work we study the classical cryptographic problem that two parties would like to perform secure computations with long outputs. As a basic primitive and example, we first consider the following problem which we call secure function sampling with long outputs: suppose $f:\{0,1\}^n\rightarrow \{0,1\}^m$ is a public, efficient classical function, where $m$ is big; Alice would like to sample $x$ from its domain and sends $f(x)$ to Bob; what Bob knows should be no more than $f(x)$ even if it behaves maliciously. Classical cryptography, like FHE and succinct arguments [Gen09,Kil92,HW15], allows us to achieve this task within communication complexity $O(n+m)$; could we achieve this task with communication complexity independent of $m$?

In this work, we first design a quantum cryptographic protocol that achieves secure function sampling with approximate security, within $O(n)$ communication (omitting the dependency on the security parameter and error tolerance). We also prove the classical impossibility using techniques in [HW15], which means that our protocol indeed achieves a type of quantum advantage. Building on the secure function sampling protocol, we further construct protocols for general secure two-party computations [Yao86,GB01] with approximate security, with communication complexity only depending on the input length and the targeted security. In terms of the assumptions, we construct protocols for these problems assuming only the existence of collapsing hash functions [Unr16]; what's more, we also construct a classical-channel protocol for these problems additionally assuming the existence of noisy trapdoor claw-free functions [BCMVV,BKVV].",2310.05213,,,,,,Accepted,Jiayu Zhang,27 January,15:00,30
QIP,2026,contributed,Fault Tolerance by Construction,,Benjamin Rodatz;Boldizsár Poór;Maximilian Rüsch;Aleks Kissinger,University of Oxford;University of Oxford;University of Oxford;University of Oxford,"A key challenge in fault-tolerant quantum computing is synthesising and optimising circuits in a noisy environment, as traditional techniques often fail to account for the effect of noise on circuits. In this work, we propose a framework for designing fault-tolerant quantum circuits that are correct by construction. The framework starts with idealised specifications of fault-tolerant gadgets and refines them using provably sound basic transformations.

To reason about manipulating circuits while preserving their error correction properties, we define fault equivalence; two circuits are considered fault-equivalent if all undetectable faults on one circuit have a corresponding fault on the other. This guarantees that the effect of undetectable faults on both circuits is the same. We argue that fault equivalence is a concept that is already implicitly present in the literature. Many problems, such as state preparation and syndrome extraction, can be naturally expressed as finding an implementable circuit that is fault-equivalent to an idealised specification.

To utilise fault equivalence in a computationally tractable manner, we adapt the ZX calculus, a diagrammatic language for quantum computing. We restrict its rewrite system to not only preserve the underlying linear map but also fault equivalence, i.e. the circuit's behaviour under noise. We show that this rewriting system is complete, meaning that two circuits are fault-equivalent if and only if one can be transformed into the other using fault-equivalent ZX rewrites. Enabled by our framework, we verify, optimise and synthesise new and efficient circuits for syndrome extraction and cat state preparation. We anticipate that fault equivalence can capture and unify different approaches in fault-tolerant quantum computing, paving the way for an end-to-end circuit compilation framework.","2506.17181,https://maximilianruesch.de/scientific/msc-thesis/msc-thesis.pdf",,,,,,Accepted,Benjamin Rodatz,30 January,15:00,30
QIP,2026,contributed,Parallel Repetition for Post-Quantum Arguments,,Andrew Huang;Yael Tauman Kalai,Massachusetts Institute of Technology;Massachusetts Institute of Technology,"In this work, we prove that parallel repetition of public-coin interactive arguments reduces the soundness error at an exponential rate even in the post-quantum setting. Moreover, we generalize this result to hold for threshold verifiers, where the parallel repeated verifier accepts if and only if at least t of the executions are accepted (for some threshold t). Prior to this work, these results were known only when the cheating prover is assumed to be classical.

We also prove a similar result for three-message private-coin arguments. Previously, Bostanci, Qian, Spooner, and Yuen (STOC 2024) proved such a parallel repetition result in the more general setting of quantum protocols, where the communication may be quantum. We consider only protocols where the verifier is classical, but obtain a more simplified analysis, and for the more general setting of threshold verifiers.",2506.02277,,,,,,Accepted,Andrew Huang,29 January,15:00,30
QIP,2026,contributed,Quantum circuit lower bounds in the magic hierarchy,,Natalie Parham,Columbia University,"We introduce the \emph{magic hierarchy}, a quantum circuit model that alternates between arbitrary-sized Clifford circuits and constant-depth circuits with two-qubit gates ($\textsf{QNC}^0$). This model unifies existing circuit models, such as $\QACZF$ and models with adaptive intermediate measurements. Despite its generality, we are able to prove nontrivial lower bounds.

We prove new lower bounds in the first level of the hierarchy, showing that certain explicit quantum states cannot be approximately prepared by circuits consisting of a Clifford circuit followed by $\textsf{QNC}^0$. These states include ground states of some topologically ordered Hamiltonians and nonstabilizer quantum codes. Our techniques exploit the rigid structure of stabilizer codes and introduce an infectiousness property: if even a single state in a high distance code can be approximately prepared by one of these circuits, then the entire subspace must lie close to a perturbed stabilizer code. We also show that proving state preparation lower bounds beyond a certain level of the hierarchy would imply \emph{classical} circuit lower bounds beyond the reach of current techniques in complexity theory. 

More broadly, our techniques go beyond lightcone-based methods and highlight how the magic hierarchy provides a natural framework for connecting circuit complexity, condensed matter, and Hamiltonian complexity.",https://arxi,,,,,,Accepted,Natalie Parham,28 January,13:30,30
QIP,2026,plenary_short,Few Single-Qubit Measurements Suffice to Certify Any Quantum State,,Meghal Gupta;William He;Ryan O'Donnell,UC Berkeley;Carnegie Mellon University;Carnegie Mellon University,"A fundamental task in quantum information science is \emph{state certification}: testing whether a lab-prepared $n$-qubit state is close to a given hypothesis state. In this work, we show that \emph{every} pure hypothesis state can be certified using only $O(n^2)$ single-qubit measurements applied to $O(n)$ copies of the lab state. Prior to our work, it was not known whether even subexponentially many single-qubit measurements could suffice to certify arbitrary states. This resolves the main open question of Huang, Preskill, and Soleimanifar (FOCS 2024, QIP 2024).

Our algorithm also showcases the power of \emph{adaptive measurements}: within each copy of the lab state,  previous measurement outcomes dictate how subsequent qubit measurements are made. We show that the adaptivity is necessary, by proving an exponential lower bound on the number of copies needed for any nonadaptive single-qubit measurement algorithm.",2506.11355,,,,,Best Student Paper,AcceptedAsPlenaryAndBestStudentPaper,William He,28 January,10:00,30
QIP,2026,contributed,Unified Framework for Quantum Code Embedding,,Andrew C. Yuan,"University of Maryland, College Park","Given a Calderbank-Shor-Steane (CSS) code, it is sometimes necessary to modify the code by adding an arbitrary number of physical qubits and parity checks.
Motivations may include concatenating codes, embedding low-density parity check (LDPC) codes into finite-dimensional Euclidean space, or reducing the weights of parity checks.
During this embedding, it is essential that the modified code possesses an isomorphic set of logical qubits as the original code. 
However, despite numerous explicit constructions, the conditions of when such a property holds true is not known in general.
Therefore, using the language of homological algebra, we provide a unified framework that guarantees a natural isomorphism between the output and input codes.
In particular, we explicitly show how previous works fit into our framework.",2507.05361,,,,,,Accepted,Andrew C. Yuan,26 January,16:30,30
QIP,2026,contributed,High-Temperature Fermionic Gibbs States are Mixtures of Gaussian States,,Akshar Ramkumar;Yiyi Cai;Yu Tong;Jiaqing Jiang,"California Institute of Technology;California Institute of Technology;Duke University;California Institute of Technology & University of California, Berkeley","Efficient simulation of a quantum system generally relies on structural properties of the quantum state. Motivated by the recent results by Bakshi et al. on the sudden death of entanglement in high-temperature Gibbs states of quantum spin systems, we study the high-temperature Gibbs states of bounded-degree local fermionic Hamiltonians, which include the special case of geometrically local fermionic systems.  We prove that at a sufficiently high temperature that is independent of the system size, the Gibbs state is a probabilistic mixture of fermionic Gaussian states. This forms the basis of an efficient classical algorithm to prepare the Gibbs state by sampling from a distribution of fermionic Gaussian states. As a contrasting example, we show that high-temperature Gibbs states of the Sachdev-Ye-Kitaev (SYK) model are not convex mixtures of Gaussian states.",2505.09730,,,,,,Accepted,Akshar Ramkumar,27 January,13:00,30
QIP,2026,contributed,On the Cryptographic Foundations of Interactive Quantum Advantage,,Kabir Tomer;Mark Zhandry,University of Illinois Urbana-Champaign;Stanford University,"In this work, we study the hardness required to achieve proofs of quantumness (PoQ), which in turn capture (potentially interactive) quantum advantage. A ``trivial'' PoQ is to simply assume an average-case hard problem for classical computers that is easy for quantum computers. However, there is much interest in ``non-trivial'' PoQ that actually rely on quantum hardness assumptions, as these are often a starting point for more sophisticated protocols such as classical verification of quantum computation (CVQC). We show several lower-bounds for the hardness required to achieve non-trivial PoQ, in particular showing that they likely require cryptographic hardness, with different types of cryptographic hardness being required for different variations of non-trivial PoQ. In particular, our results help explain the challenges in using lattices to build publicly verifiable PoQ and its various extensions such as CVQC.",,,,,,,Accepted,Kabir Tomer,27 January,16:30,30
QIP,2026,contributed,Catalytic z-rotations in constant T-depth,,Isaac Kim,UC Davis,"We show that the $T$-depth of any single-qubit $z$-rotation can be reduced to $3$ if a certain catalyst state is available. To achieve an $\epsilon$-approximation, it suffices to have a catalyst state of size polynomial in $\log(1/\epsilon)$.  This implies that $\mathsf{QNC}^0_f/\mathsf{qpoly}$ admits a finite universal gate set consisting of Clifford+$T$. In particular, there are catalytic constant $T$-depth circuits that approximate multi-qubit Toffoli, adder, and quantum Fourier transform arbitrarily well. We also show that the catalyst state can be prepared in time polynomial in  $\log (1/\epsilon)$.",2506.15147,,,,,,Accepted,,,,
