venue,year,paper_type,is_proceedings_track,title,speakers,authors,affiliations,arxiv_ids,session_name,scheduled_date,scheduled_time,duration_minutes,presentation_url,video_url,youtube_id,award,notes
TQC,2021,regular,FALSE,The quantum Wasserstein distance of order 1,Giacomo De Palma; Milad Marvian; Dario Trevisan; Seth Lloyd,Giacomo De Palma; Milad Marvian; Dario Trevisan; Seth Lloyd,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Dynamical entanglement,Gilad Gour; Carlo Maria Scandolo,Gilad Gour; Carlo Maria Scandolo,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Covariant Quantum Error Correcting Codes via Reference Frames,Yuxiang Yang; Mo Yin; Joseph Renes; Giulio Chiribella; Mischa Woods,Yuxiang Yang; Mo Yin; Joseph Renes; Giulio Chiribella; Mischa Woods,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Faster Digital Quantum Simulation by Symmetry Protection,Minh Tran; Yuan Su; Daniel Carney; Jake Taylor,Minh Tran; Yuan Su; Daniel Carney; Jake Taylor,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Private learning implies quantum stability,Srinivasan Arunachalam; Yihui Quek; John Smolin,Srinivasan Arunachalam; Yihui Quek; John Smolin,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,‘Interaction-Free’ Channel Discrimination,Markus Hasenöhrl; Michael M. Wolf,Markus Hasenöhrl; Michael M. Wolf,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Bounding the classical capacity of a quantum channel assisted by classical feedback,Dawei Ding; Sumeet Khatri; Yihui Quek; Peter Shor; Xin Wang; Mark Wilde,Dawei Ding; Sumeet Khatri; Yihui Quek; Peter Shor; Xin Wang; Mark Wilde,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum algorithm for Petz recovery channels and pretty good measurements,András Gilyén; Seth Lloyd; Iman Marvian; Yihui Quek; Mark Wilde,András Gilyén; Seth Lloyd; Iman Marvian; Yihui Quek; Mark Wilde,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Subsystem codes with high thresholds by gauge fixing and reduced qubit overhead,Oscar Higgott; Nikolas Breuckmann,Oscar Higgott; Nikolas Breuckmann,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,No-go theorems for quantum resource purification: universal theories and practical applications,Kun Fang; Zi-Wen Liu,Kun Fang; Zi-Wen Liu,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum-accelerated multilevel Monte Carlo methods for stochastic differential equations in mathematical finance,Dong An; Noah Linden; Jin-Peng Liu; Ashley Montanaro; Changpeng Shao; Jiasu Wang,Dong An; Noah Linden; Jin-Peng Liu; Ashley Montanaro; Changpeng Shao; Jiasu Wang,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,The XZZX Surface Code,Pablo Bonilla; David Tuckett; Stephen Bartlett; Steven Flammia; Benjamin Brown,Pablo Bonilla; David Tuckett; Stephen Bartlett; Steven Flammia; Benjamin Brown,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum algorithms for matrix scaling and matrix balancing,Joran van Apeldoorn; Sander Gribling; Yinan Li; Harold Nieuwboer; Michael Walter; Ronald de Wolf,Joran van Apeldoorn; Sander Gribling; Yinan Li; Harold Nieuwboer; Michael Walter; Ronald de Wolf,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Geometric Renyi Divergence and its Applications in Quantum Channel Capacities,Kun Fang; Hamza Fawzi,Kun Fang; Hamza Fawzi,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,General conditions for universality of quantum Hamiltonians,Tamara Kohler; Stephen Piddock; Johannes Bausch; Toby Cubitt,Tamara Kohler; Stephen Piddock; Johannes Bausch; Toby Cubitt,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum Algorithm for Finding the Optimal Variable Ordering for Binary Decision Diagrams,Seiichiro Tani,Seiichiro Tani,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Hybrid quantum-classical algorithms for approximate graph coloring,Sergey Bravyi; Alexander Kliesch; Robert Koenig; Eugene Tang,Sergey Bravyi; Alexander Kliesch; Robert Koenig; Eugene Tang,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Explicit constructions of exact unitary $t$-designs and applications to higher-order randomized benchmarking,Yoshifumi Nakata; Da Zhao; Takayuki Okuda; Eiichi Bannai; Yasunari Suzuki; Shiro Tamiya; Kentaro Heya; Zhiguang Yan; Kun Zuo; Shuhei Tamate; Yutaka Tabuchi; Yasunobu Nakamura,Yoshifumi Nakata; Da Zhao; Takayuki Okuda; Eiichi Bannai; Yasunari Suzuki; Shiro Tamiya; Kentaro Heya; Zhiguang Yan; Kun Zuo; Shuhei Tamate; Yutaka Tabuchi; Yasunobu Nakamura,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Single-shot error correction of three-dimensional homological product codes,Armanda O. Quintavalle; Michael Vasmer; Joschka Roffe; Earl Campbell,Armanda O. Quintavalle; Michael Vasmer; Joschka Roffe; Earl Campbell,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Limitations on transversal gates for hypergraph product codes,Simon Burton; Dan Browne,Simon Burton; Dan Browne,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,The Complexity of Translationally Invariant Problems beyond Ground State Energies,James Watson; Johannes Bausch; Sevag Gharibian,James Watson; Johannes Bausch; Sevag Gharibian,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum Proofs of Proximity,Marcel Dall’Agnol; Tom Gur; Subhayan Roy Moulik; Justin Thaler,Marcel Dall’Agnol; Tom Gur; Subhayan Roy Moulik; Justin Thaler,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Faster quantum-inspired algorithms for solving linear systems,Changpeng Shao; Ashley Montanaro,Changpeng Shao; Ashley Montanaro,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quasi-polynomial time algorithms for quantum games in bounded dimension,Hyejung Hailey Jee; Carlo Sparaciari; Omar Fawzi; Mario Berta,Hyejung Hailey Jee; Carlo Sparaciari; Omar Fawzi; Mario Berta,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Efficient verification of Boson Sampling,Ulysse Chabaud; Frédéric Grosshans; Elham Kashefi; Damian Markham,Ulysse Chabaud; Frédéric Grosshans; Elham Kashefi; Damian Markham,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Covariance Decomposition as a Universal Limit on Correlations in Networks,Salman Beigi; Marc-Olivier Renou,Salman Beigi; Marc-Olivier Renou,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,RLD Fisher Information Bound for Multiparameter Estimation of Quantum Channels,Vishal Katariya; Mark Wilde,Vishal Katariya; Mark Wilde,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Leveraging Unknown Structure in Quantum Query Algorithms,Noel Anderson; Jay-U Chung; Shelby Kimmel,Noel Anderson; Jay-U Chung; Shelby Kimmel,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Charge-conserving unitaries typically generate optimal covariant quantum error-correcting codes,Linghang Kong; Zi-Wen Liu,Linghang Kong; Zi-Wen Liu,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum simulation with randomized product formulas: A concentration analysis,Chi-Fang Chen; Hsin-Yuan Huang; Richard Kueng; Joel Tropp,Chi-Fang Chen; Hsin-Yuan Huang; Richard Kueng; Joel Tropp,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Bounds on the QAC^0 Complexity of Approximating Parity,Gregory Rosenthal,Gregory Rosenthal,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,One-shot manipulation of dynamical quantum resources,Bartosz Regula; Ryuji Takagi,Bartosz Regula; Ryuji Takagi,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,"Faster Coherent Quantum Algorithms for Phase, Energy, and Amplitude Estimation",Patrick Rall,Patrick Rall,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum Time-Space Tradeoff for Finding Multiple Collision Pairs,Yassine Hamoudi; Frederic Magniez,Yassine Hamoudi; Frederic Magniez,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Hidden Variable Model for Universal Quantum Computation with Magic States on Qubits,Michael Zurel; Cihan Okay; Robert Raussendorf,Michael Zurel; Cihan Okay; Robert Raussendorf,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Entanglement Induced Barren Plateaus,Carlos Ortiz Marrero; Maria Kieferova; Nathan Wiebe,Carlos Ortiz Marrero; Maria Kieferova; Nathan Wiebe,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Reducing the CNOT count for Clifford+T circuits on NISQ architectures,Vlad Gheorghiu; Sarah Meng Li; Michele Mosca; Priyanka Mukhopadhyay,Vlad Gheorghiu; Sarah Meng Li; Michele Mosca; Priyanka Mukhopadhyay,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Even more efficient quantum computations of chemistry through tensor hypercontraction,Joonho Lee; Dominic Berry; Craig Gidney; William Huggins; Jarrod McClean; Nathan Wiebe; Ryan Babbush,Joonho Lee; Dominic Berry; Craig Gidney; William Huggins; Jarrod McClean; Nathan Wiebe; Ryan Babbush,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,New Approaches for Quantum Copy-Protection,Scott Aaronson; Jiahui Liu; Qipeng Liu; Mark Zhandry; Ruizhe Zhang,Scott Aaronson; Jiahui Liu; Qipeng Liu; Mark Zhandry; Ruizhe Zhang,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Lieb-Robinson bound and almost linear light cone in interacting boson systems,Tomotaka Kuwahara; Keiji Saito,Tomotaka Kuwahara; Keiji Saito,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum Pseudorandomness and Classical Complexity,William Kretschmer,William Kretschmer,,,Accepted,,,,,,,,
